Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
alanine-cup-tango-hotel-oven-pasta,1,103, , ,15.76,0.496,50.97,1.045
alanine-cup-tango-hotel-oven-pasta,2,201, , ,16.12,0.509,55.40,1.269
alanine-cup-tango-hotel-oven-pasta,3,304, , ,12.16,0.4,44.13,1.046
alanine-cup-tango-hotel-oven-pasta,4,403, , ,5.48,0.192,62.83,1.565
alanine-cup-tango-hotel-oven-pasta,5,507, , ,9.68,0.302, , 
alanine-cup-tango-hotel-oven-pasta,6,602, , ,9.86,0.311, , 
alanine-cup-tango-hotel-oven-pasta,1,108, , ,10.08,0.337,61.63,1.498
alanine-cup-tango-hotel-oven-pasta,2,206, , ,14.92,0.468,58.77,1.416
alanine-cup-tango-hotel-oven-pasta,3,307, , ,9.12,0.293,50.83,1.098
alanine-cup-tango-hotel-oven-pasta,4,404, , ,16.92,0.587,75.27,1.769
alanine-cup-tango-hotel-oven-pasta,5,505, , ,12.64,0.393, , 
alanine-cup-tango-hotel-oven-pasta,6,603, , ,12.14,0.39, , 
alanine-cup-tango-hotel-oven-pasta,1,106,FL OZ/A,ATPLAN,10.7,0.324,39.60,0.887
alanine-cup-tango-hotel-oven-pasta,2,205,FL OZ/A,ATPLAN,8.26,0.267,53.50,1.161
alanine-cup-tango-hotel-oven-pasta,3,303,FL OZ/A,ATPLAN,15.7,0.51,54.53,1.309
alanine-cup-tango-hotel-oven-pasta,4,405,FL OZ/A,ATPLAN,20.64,0.714,71.07,1.635
alanine-cup-tango-hotel-oven-pasta,5,503,FL OZ/A,ATPLAN,12.18,0.361, , 
alanine-cup-tango-hotel-oven-pasta,6,609,FL OZ/A,ATPLAN,8.98,0.314, , 
alanine-cup-tango-hotel-oven-pasta,1,105,FL OZ/A,ATPLAN,17.5,0.557,45.33,0.975
alanine-cup-tango-hotel-oven-pasta,2,202,FL OZ/A,ATPLAN,17.42,0.566,42.37,1.051
alanine-cup-tango-hotel-oven-pasta,3,301,FL OZ/A,ATPLAN,11.42,0.385,70.37,1.787
alanine-cup-tango-hotel-oven-pasta,4,406,FL OZ/A,ATPLAN,14.34,0.483,58.13,1.325
alanine-cup-tango-hotel-oven-pasta,5,501,FL OZ/A,ATPLAN,10.82,0.47, , 
alanine-cup-tango-hotel-oven-pasta,6,606,FL OZ/A,ATPLAN,11.64,0.39, , 
alanine-cup-tango-hotel-oven-pasta,1,109, , ,8.12,0.268,73.00,1.701
alanine-cup-tango-hotel-oven-pasta,2,207, , ,7.86,0.271,58.43,1.414
alanine-cup-tango-hotel-oven-pasta,3,308, , ,12.0,0.356,57.47,1.345
alanine-cup-tango-hotel-oven-pasta,4,407, , ,9.78,0.328,44.40,1.021
alanine-cup-tango-hotel-oven-pasta,5,509, , ,7.06,0.234, , 
alanine-cup-tango-hotel-oven-pasta,6,607, , ,16.62,0.558, , 
alanine-cup-tango-hotel-oven-pasta,1,102,FL OZ/A,ATPLAN,24.88,0.861,54.47,1.133
alanine-cup-tango-hotel-oven-pasta,2,203,FL OZ/A,ATPLAN,12.52,0.358,58.03,1.474
alanine-cup-tango-hotel-oven-pasta,3,305,FL OZ/A,ATPLAN,13.48,0.445,45.37,1.093
alanine-cup-tango-hotel-oven-pasta,4,402,FL OZ/A,ATPLAN,10.92,0.364,64.93,1.610
alanine-cup-tango-hotel-oven-pasta,5,508,FL OZ/A,ATPLAN,10.54,0.334, , 
alanine-cup-tango-hotel-oven-pasta,6,605,FL OZ/A,ATPLAN,15.72,0.531, , 
alanine-cup-tango-hotel-oven-pasta,1,101,FL OZ/A,ATPLAN,19.42,0.625,60.10,1.322
alanine-cup-tango-hotel-oven-pasta,2,209,FL OZ/A,ATPLAN,10.94,0.359,43.87,1.084
alanine-cup-tango-hotel-oven-pasta,3,306,FL OZ/A,ATPLAN,17.98,0.559,37.93,0.918
alanine-cup-tango-hotel-oven-pasta,4,408,FL OZ/A,ATPLAN,17.88,0.62,47.93,1.251
alanine-cup-tango-hotel-oven-pasta,5,506,FL OZ/A,ATPLAN,13.5,0.425, , 
alanine-cup-tango-hotel-oven-pasta,6,604,FL OZ/A,ATPLAN,4.1,0.127, , 
alanine-cup-tango-hotel-oven-pasta,1,104,FL OZ/A,ATPLAN,15.3,0.476,45.93,1.102
alanine-cup-tango-hotel-oven-pasta,2,208,FL OZ/A,ATPLAN,13.26,0.447,68.97,1.697
alanine-cup-tango-hotel-oven-pasta,3,302,FL OZ/A,ATPLAN,16.04,0.541,46.47,1.008
alanine-cup-tango-hotel-oven-pasta,4,409,FL OZ/A,ATPLAN,9.24,0.305,56.33,1.510
alanine-cup-tango-hotel-oven-pasta,5,504,FL OZ/A,ATPLAN,12.76,0.394, , 
alanine-cup-tango-hotel-oven-pasta,6,608,FL OZ/A,ATPLAN,9.22,0.301, , 
alanine-cup-tango-hotel-oven-pasta,1,107,FL OZ/A,ATPLAN,12.76,0.419,49.17,1.023
alanine-cup-tango-hotel-oven-pasta,2,204,FL OZ/A,ATPLAN,14.22,0.471,57.17,1.178
alanine-cup-tango-hotel-oven-pasta,3,309,FL OZ/A,ATPLAN,12.7,0.381,48.37,1.132
alanine-cup-tango-hotel-oven-pasta,4,401,FL OZ/A,ATPLAN,9.32,0.291,64.53,1.562
alanine-cup-tango-hotel-oven-pasta,5,502,FL OZ/A,ATPLAN,11.54,0.345, , 
alanine-cup-tango-hotel-oven-pasta,6,601,FL OZ/A,ATPLAN,11.26,0.363, , 
