Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g VT,total_n_g VT
arizona-pluto-yellow-apart-eleven-alanine,1,106, , ,127.7,2.145
arizona-pluto-yellow-apart-eleven-alanine,2,203, , ,129,2.696
arizona-pluto-yellow-apart-eleven-alanine,3,309, , ,180.27,3.732
arizona-pluto-yellow-apart-eleven-alanine,4,402, , ,135.5,2.141
arizona-pluto-yellow-apart-eleven-alanine,1,108, , ,149.57,2.543
arizona-pluto-yellow-apart-eleven-alanine,2,202, , , , 
arizona-pluto-yellow-apart-eleven-alanine,3,304, , ,158.23,2.437
arizona-pluto-yellow-apart-eleven-alanine,4,401, , ,145.93,2.393
arizona-pluto-yellow-apart-eleven-alanine,1,104,FL OZ/A,ATPLAN,121.63,2.275
arizona-pluto-yellow-apart-eleven-alanine,2,201,FL OZ/A,ATPLAN,132.97,2.034
arizona-pluto-yellow-apart-eleven-alanine,3,302,FL OZ/A,ATPLAN,82.23,0.97
arizona-pluto-yellow-apart-eleven-alanine,4,409,FL OZ/A,ATPLAN,165.3,2.661
arizona-pluto-yellow-apart-eleven-alanine,1,107,FL OZ/A,ATPLAN,120.5,2.012
arizona-pluto-yellow-apart-eleven-alanine,2,209,FL OZ/A,ATPLAN,155.73,2.523
arizona-pluto-yellow-apart-eleven-alanine,3,306,FL OZ/A,ATPLAN,149.67,2.455
arizona-pluto-yellow-apart-eleven-alanine,4,403,FL OZ/A,ATPLAN,142.27,2.931
arizona-pluto-yellow-apart-eleven-alanine,1,103, , ,35.27,0.656
arizona-pluto-yellow-apart-eleven-alanine,2,207, , ,142.23,2.589
arizona-pluto-yellow-apart-eleven-alanine,3,305, , ,122.07,1.929
arizona-pluto-yellow-apart-eleven-alanine,4,404, , ,134.63,2.585
arizona-pluto-yellow-apart-eleven-alanine,1,101,FL OZ/A,ATPLAN,137.1,2.317
arizona-pluto-yellow-apart-eleven-alanine,2,206,FL OZ/A,ATPLAN,121.87,1.877
arizona-pluto-yellow-apart-eleven-alanine,3,308,FL OZ/A,ATPLAN,147.87,2.425
arizona-pluto-yellow-apart-eleven-alanine,4,407,FL OZ/A,ATPLAN,132.07,1.902
arizona-pluto-yellow-apart-eleven-alanine,1,102,FL OZ/A,ATPLAN,87.23,1.282
arizona-pluto-yellow-apart-eleven-alanine,2,208,FL OZ/A,ATPLAN,141.67,2.21
arizona-pluto-yellow-apart-eleven-alanine,3,301,FL OZ/A,ATPLAN,133.53,2.217
arizona-pluto-yellow-apart-eleven-alanine,4,406,FL OZ/A,ATPLAN,130.07,2.692
arizona-pluto-yellow-apart-eleven-alanine,1,105,FL OZ/A,ATPLAN,91.7,1.33
arizona-pluto-yellow-apart-eleven-alanine,2,204,FL OZ/A,ATPLAN,155.6,2.054
arizona-pluto-yellow-apart-eleven-alanine,3,307,FL OZ/A,ATPLAN,146.77,2.48
arizona-pluto-yellow-apart-eleven-alanine,4,405,FL OZ/A,ATPLAN,129.87,2.441
arizona-pluto-yellow-apart-eleven-alanine,1,109,FL OZ/A,ATPLAN,135.7,2.049
arizona-pluto-yellow-apart-eleven-alanine,2,205,FL OZ/A,ATPLAN,122.27,2.042
arizona-pluto-yellow-apart-eleven-alanine,3,303,FL OZ/A,ATPLAN,135.27,2.083
arizona-pluto-yellow-apart-eleven-alanine,4,408,FL OZ/A,ATPLAN,128.1,1.947
