Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
bakerloo-thirteen-xray-muppet-maine-coffee,1,101, , ,14.62,0.537,163.23,2.398
bakerloo-thirteen-xray-muppet-maine-coffee,2,205, , ,14.26,0.505,179.6,3.062
bakerloo-thirteen-xray-muppet-maine-coffee,3,308, , ,17.38,0.676,189.57,3.302
bakerloo-thirteen-xray-muppet-maine-coffee,4,402, , ,15.44,0.608,91.3,1.374
bakerloo-thirteen-xray-muppet-maine-coffee,1,102, , ,15.08,0.529,163.23,2.381
bakerloo-thirteen-xray-muppet-maine-coffee,2,201, , ,15.16,0.54,160.4,2.582
bakerloo-thirteen-xray-muppet-maine-coffee,3,305, , ,14.54,0.598,162.77,2.366
bakerloo-thirteen-xray-muppet-maine-coffee,4,409, , ,17.36,0.661,87.4,1.353
bakerloo-thirteen-xray-muppet-maine-coffee,1,103,FL OZ/A,ATPLAN,15.26,0.557,149.7,2.791
bakerloo-thirteen-xray-muppet-maine-coffee,2,204,FL OZ/A,ATPLAN,15.4,0.565,167.1,2.562
bakerloo-thirteen-xray-muppet-maine-coffee,3,301,FL OZ/A,ATPLAN,14.24,0.52,177.33,2.686
bakerloo-thirteen-xray-muppet-maine-coffee,4,406,FL OZ/A,ATPLAN,15.0,0.56,92.37,1.528
bakerloo-thirteen-xray-muppet-maine-coffee,1,104,FL OZ/A,ATPLAN,16.74,0.559,160.47,2.607
bakerloo-thirteen-xray-muppet-maine-coffee,2,209,FL OZ/A,ATPLAN,16.82,0.663,163.43,2.714
bakerloo-thirteen-xray-muppet-maine-coffee,3,306,FL OZ/A,ATPLAN,14.24,0.538,179.67,3.216
bakerloo-thirteen-xray-muppet-maine-coffee,4,407,FL OZ/A,ATPLAN,15.56,0.593,86.93,1.64
bakerloo-thirteen-xray-muppet-maine-coffee,1,105, , ,15.26,0.549,164.9,2.49
bakerloo-thirteen-xray-muppet-maine-coffee,2,206, , ,13.74,0.513,181.0,3.003
bakerloo-thirteen-xray-muppet-maine-coffee,3,303, , ,14.12,0.585,175.13,2.917
bakerloo-thirteen-xray-muppet-maine-coffee,4,408, , ,16.16,0.582,114.23,1.648
bakerloo-thirteen-xray-muppet-maine-coffee,1,106,FL OZ/A,ATPLAN,15.02,0.574,163.53,2.555
bakerloo-thirteen-xray-muppet-maine-coffee,2,203,FL OZ/A,ATPLAN,17.24,0.631,169.87,3.133
bakerloo-thirteen-xray-muppet-maine-coffee,3,304,FL OZ/A,ATPLAN,14.94,0.604,185.47,3.158
bakerloo-thirteen-xray-muppet-maine-coffee,4,403,FL OZ/A,ATPLAN,15.78,0.626,91.47,1.333
bakerloo-thirteen-xray-muppet-maine-coffee,1,107,FL OZ/A,ATPLAN,17.3,0.67,170.27,2.932
bakerloo-thirteen-xray-muppet-maine-coffee,2,208,FL OZ/A,ATPLAN,16.42,0.635,164.9,2.776
bakerloo-thirteen-xray-muppet-maine-coffee,3,309,FL OZ/A,ATPLAN,17.36,0.661,180.83,2.807
bakerloo-thirteen-xray-muppet-maine-coffee,4,405,FL OZ/A,ATPLAN,16.52,0.618,81.63,1.408
bakerloo-thirteen-xray-muppet-maine-coffee,1,108,FL OZ/A,ATPLAN,15.3,0.565,175.23,2.829
bakerloo-thirteen-xray-muppet-maine-coffee,2,202,FL OZ/A,ATPLAN,15.2,0.541,161.03,2.712
bakerloo-thirteen-xray-muppet-maine-coffee,3,307,FL OZ/A,ATPLAN,16.74,0.655,177.77,2.817
bakerloo-thirteen-xray-muppet-maine-coffee,4,401,FL OZ/A,ATPLAN,13.24,0.507,85.77,1.331
bakerloo-thirteen-xray-muppet-maine-coffee,1,109,FL OZ/A,ATPLAN,17.1,0.636,161.4,2.53
bakerloo-thirteen-xray-muppet-maine-coffee,2,207,FL OZ/A,ATPLAN,14.46,0.513,172.9,2.726
bakerloo-thirteen-xray-muppet-maine-coffee,3,302,FL OZ/A,ATPLAN,15.24,0.581,182.83,3.844
bakerloo-thirteen-xray-muppet-maine-coffee,4,404,FL OZ/A,ATPLAN,17.44,0.645,103.43,1.738
