Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
bravo-arizona-sixteen-eighteen-hot-spaghetti,1,101, , ,8.34,0.342,99.23,2.362
bravo-arizona-sixteen-eighteen-hot-spaghetti,2,207, , ,5.62,0.223,81.5,1.842
bravo-arizona-sixteen-eighteen-hot-spaghetti,3,304, , ,7.56,0.321,89.87,2.121
bravo-arizona-sixteen-eighteen-hot-spaghetti,4,406, , ,9.12,0.395,81.03,1.856
bravo-arizona-sixteen-eighteen-hot-spaghetti,5,508, , ,10.1,0.39,84.1,1.926
bravo-arizona-sixteen-eighteen-hot-spaghetti,6,602, , ,6.46,0.282,83.2,1.331
bravo-arizona-sixteen-eighteen-hot-spaghetti,1,102, , ,7.34,0.325,88.33,1.952
bravo-arizona-sixteen-eighteen-hot-spaghetti,2,201, , ,7.1,0.295,99.87,1.318
bravo-arizona-sixteen-eighteen-hot-spaghetti,3,303, , ,7.46,0.328,80.97,1.749
bravo-arizona-sixteen-eighteen-hot-spaghetti,4,401, , ,6.44,0.269,84.97,1.614
bravo-arizona-sixteen-eighteen-hot-spaghetti,5,506, , ,8.96,0.367,81.83,1.465
bravo-arizona-sixteen-eighteen-hot-spaghetti,6,607, , ,10.04,0.395,85.97,0.937
bravo-arizona-sixteen-eighteen-hot-spaghetti,1,103,FL OZ/A,ATPLAN,7.2,0.319,100.37,2.278
bravo-arizona-sixteen-eighteen-hot-spaghetti,2,208,FL OZ/A,ATPLAN,6.4,0.252,85.97,1.659
bravo-arizona-sixteen-eighteen-hot-spaghetti,3,306,FL OZ/A,ATPLAN,5.62,0.221,69.57,1.524
bravo-arizona-sixteen-eighteen-hot-spaghetti,4,409,FL OZ/A,ATPLAN,11.04,0.432,72.13,1.681
bravo-arizona-sixteen-eighteen-hot-spaghetti,5,502,FL OZ/A,ATPLAN,6.92,0.291,67.3,1.306
bravo-arizona-sixteen-eighteen-hot-spaghetti,6,604,FL OZ/A,ATPLAN,7.34,0.316,87.1,1.542
bravo-arizona-sixteen-eighteen-hot-spaghetti,1,104,FL OZ/A,ATPLAN,7.66,0.342,91.7,1.678
bravo-arizona-sixteen-eighteen-hot-spaghetti,2,209,FL OZ/A,ATPLAN,6.02,0.238,78.8,1.718
bravo-arizona-sixteen-eighteen-hot-spaghetti,3,305,FL OZ/A,ATPLAN,9.06,0.389,81.43,1.417
bravo-arizona-sixteen-eighteen-hot-spaghetti,4,407,FL OZ/A,ATPLAN,10.9,0.383,81.9,1.613
bravo-arizona-sixteen-eighteen-hot-spaghetti,5,504,FL OZ/A,ATPLAN,8.36,0.321,82.13,1.298
bravo-arizona-sixteen-eighteen-hot-spaghetti,6,606,FL OZ/A,ATPLAN,10.88,0.415,83.5,1.545
bravo-arizona-sixteen-eighteen-hot-spaghetti,1,105, , ,7.72,0.34,82.63,1.901
bravo-arizona-sixteen-eighteen-hot-spaghetti,2,204, , ,6.9,0.265,91.23,1.898
bravo-arizona-sixteen-eighteen-hot-spaghetti,3,308, , ,7.86,0.309,78.0,1.622
bravo-arizona-sixteen-eighteen-hot-spaghetti,4,405, , ,6.86,0.297,60.13,1.557
bravo-arizona-sixteen-eighteen-hot-spaghetti,5,501, , ,6.24,0.251,66.43,1.674
bravo-arizona-sixteen-eighteen-hot-spaghetti,6,609, , ,10.88,0.426,78.03,1.264
