Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
carolina-earth-spring-carpet-winner-eleven,1,101, , ,5.32,0.192,100.13,1.752
carolina-earth-spring-carpet-winner-eleven,2,202, , ,5.98,0.204,101.0,1.525
carolina-earth-spring-carpet-winner-eleven,3,305, , ,6.34,0.225,95.53,1.595
carolina-earth-spring-carpet-winner-eleven,4,407, , ,5.68,0.212,84.0,1.772
carolina-earth-spring-carpet-winner-eleven,1,102, , ,5.72,0.19,115.63,1.457
carolina-earth-spring-carpet-winner-eleven,2,205, , ,6.64,0.228,102.17,1.604
carolina-earth-spring-carpet-winner-eleven,3,301, , ,6.1,0.217,92.03,1.077
carolina-earth-spring-carpet-winner-eleven,4,405, , ,6.02,0.206,96.07,1.624
carolina-earth-spring-carpet-winner-eleven,1,103,FL OZ/A,ATPLAN,7.4,0.255,99.6,1.683
carolina-earth-spring-carpet-winner-eleven,2,209,FL OZ/A,ATPLAN,6.44,0.236,101.67,1.728
carolina-earth-spring-carpet-winner-eleven,3,302,FL OZ/A,ATPLAN,6.6,0.222,79.43,0.945
carolina-earth-spring-carpet-winner-eleven,4,406,FL OZ/A,ATPLAN,6.22,0.224,90.57,1.512
carolina-earth-spring-carpet-winner-eleven,1,104,FL OZ/A,ATPLAN,5.84,0.227,98.67,1.371
carolina-earth-spring-carpet-winner-eleven,2,206,FL OZ/A,ATPLAN,6.08,0.235,83.13,1.704
carolina-earth-spring-carpet-winner-eleven,3,309,FL OZ/A,ATPLAN,5.74,0.22,91.07,0.965
carolina-earth-spring-carpet-winner-eleven,4,408,FL OZ/A,ATPLAN,5.44,0.196,65.7,1.334
carolina-earth-spring-carpet-winner-eleven,1,105, , ,7.1,0.236,113.93,1.925
carolina-earth-spring-carpet-winner-eleven,2,201, , ,6.54,0.235,98.77,1.956
carolina-earth-spring-carpet-winner-eleven,3,307, , ,6.78,0.212,88.17,1.587
carolina-earth-spring-carpet-winner-eleven,4,401, , ,6.18,0.234,92.6,1.935
carolina-earth-spring-carpet-winner-eleven,1,106,FL OZ/A,ATPLAN,6.5,0.209,94.77,1.962
carolina-earth-spring-carpet-winner-eleven,2,208,FL OZ/A,ATPLAN,6.04,0.198,99.7,1.416
carolina-earth-spring-carpet-winner-eleven,3,304,FL OZ/A,ATPLAN,6.94,0.245,93.4,0.859
carolina-earth-spring-carpet-winner-eleven,4,402,FL OZ/A,ATPLAN,6.74,0.245,81.6,1.608
carolina-earth-spring-carpet-winner-eleven,1,107,FL OZ/A,ATPLAN,7.22,0.258,95.0,1.938
carolina-earth-spring-carpet-winner-eleven,2,207,FL OZ/A,ATPLAN,5.88,0.221,109.0,1.766
carolina-earth-spring-carpet-winner-eleven,3,308,FL OZ/A,ATPLAN,5.68,0.223,86.1,1.481
carolina-earth-spring-carpet-winner-eleven,4,403,FL OZ/A,ATPLAN,6.2,0.23,88.57,1.541
carolina-earth-spring-carpet-winner-eleven,1,108,FL OZ/A,ATPLAN,7.42,0.297,100.47,2.1
carolina-earth-spring-carpet-winner-eleven,2,204,FL OZ/A,ATPLAN,6.28,0.213,87.77,1.343
carolina-earth-spring-carpet-winner-eleven,3,303,FL OZ/A,ATPLAN,6.38,0.232,77.07,0.917
carolina-earth-spring-carpet-winner-eleven,4,409,FL OZ/A,ATPLAN,5.2,0.185,89.7,1.713
carolina-earth-spring-carpet-winner-eleven,1,109,FL OZ/A,ATPLAN,7.14,0.238,108.13,1.946
carolina-earth-spring-carpet-winner-eleven,2,203,FL OZ/A,ATPLAN,6.18,0.227,97.77,1.789
carolina-earth-spring-carpet-winner-eleven,3,306,FL OZ/A,ATPLAN,6.36,0.215,85.47,1.504
carolina-earth-spring-carpet-winner-eleven,4,404,FL OZ/A,ATPLAN,6.58,0.209,89.07,1.666
