Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
delaware-queen-angel-artist-green-south,1,101, , ,22.04,0.738,64.13,1.045
delaware-queen-angel-artist-green-south,2,208, , ,15.98,0.548, , 
delaware-queen-angel-artist-green-south,3,304, , ,11.5,0.415,80.87,1.181
delaware-queen-angel-artist-green-south,4,408, , ,9.6,0.335,86.43,1.392
delaware-queen-angel-artist-green-south,1,105, , ,17.94,0.533,83.8,1.215
delaware-queen-angel-artist-green-south,2,207, , ,16.78,0.56, , 
delaware-queen-angel-artist-green-south,3,308, , ,9.04,0.307,84.23,1.272
delaware-queen-angel-artist-green-south,4,401, , ,11.34,0.397,78.37,1.34
delaware-queen-angel-artist-green-south,1,106,FL OZ/A,ATPLAN,15.2,0.424,90.27,1.526
delaware-queen-angel-artist-green-south,2,201,FL OZ/A,ATPLAN,20.9,0.625, , 
delaware-queen-angel-artist-green-south,3,307,FL OZ/A,ATPLAN,16.9,0.588,79.2,1.457
delaware-queen-angel-artist-green-south,4,402,FL OZ/A,ATPLAN,15.38,0.535,75.5,0.959
delaware-queen-angel-artist-green-south,1,102,FL OZ/A,ATPLAN,17.7,0.545,76.53,1.156
delaware-queen-angel-artist-green-south,2,204,FL OZ/A,ATPLAN,20.28,0.661,77.23,1.406
delaware-queen-angel-artist-green-south,3,302,FL OZ/A,ATPLAN,15.7,0.537,86.33,1.355
delaware-queen-angel-artist-green-south,4,404,FL OZ/A,ATPLAN,11.18,0.358,81,1.021
delaware-queen-angel-artist-green-south,1,104, , ,16.6,0.47,69.5,1.3
delaware-queen-angel-artist-green-south,2,202, , ,18.4,0.535, , 
delaware-queen-angel-artist-green-south,3,306, , ,15.7,0.551,81.23,1.089
delaware-queen-angel-artist-green-south,4,406, , ,11.34,0.366,82.7,1.166
delaware-queen-angel-artist-green-south,1,107,FL OZ/A,ATPLAN,18.84,0.456,84.17,1.633
delaware-queen-angel-artist-green-south,2,203,FL OZ/A,ATPLAN,18.54,0.569, , 
delaware-queen-angel-artist-green-south,3,305,FL OZ/A,ATPLAN,12.3,0.446,84.13,1.312
delaware-queen-angel-artist-green-south,4,407,FL OZ/A,ATPLAN,11.88,0.415,81.83,1.318
delaware-queen-angel-artist-green-south,1,103,FL OZ/A,ATPLAN,19.06,0.53,86.93,1.374
delaware-queen-angel-artist-green-south,2,206,FL OZ/A,ATPLAN,19.92,0.627, , 
delaware-queen-angel-artist-green-south,3,301,FL OZ/A,ATPLAN,17.92,0.627,85.57,1.378
delaware-queen-angel-artist-green-south,4,405,FL OZ/A,ATPLAN,14.6,0.527,82.97,0.987
delaware-queen-angel-artist-green-south,1,108,FL OZ/A,ATPLAN,19.64,0.658,87.07,1.524
delaware-queen-angel-artist-green-south,2,209,FL OZ/A,ATPLAN,15.32,0.513, , 
delaware-queen-angel-artist-green-south,3,303,FL OZ/A,ATPLAN,9.12,0.306,84.13,1.22
delaware-queen-angel-artist-green-south,4,409,FL OZ/A,ATPLAN,15.98,0.558,79.83,1.19
delaware-queen-angel-artist-green-south,1,109,FL OZ/A,ATPLAN,21.42,0.666,70.23,1.306
delaware-queen-angel-artist-green-south,2,205,FL OZ/A,ATPLAN,17.54,0.593,64.2,1.014
delaware-queen-angel-artist-green-south,3,309,FL OZ/A,ATPLAN,9.66,0.322,79.47,1.359
delaware-queen-angel-artist-green-south,4,403,FL OZ/A,ATPLAN,14.0,0.452,76.6,1.425
