Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
diet-victor-floor-pluto-fix-pizza,1,104, , ,13.18,0.535,146.53,2.355
diet-victor-floor-pluto-fix-pizza,2,208, , ,11.24,0.472,135.23,2.304
diet-victor-floor-pluto-fix-pizza,3,302, , ,9.84,0.369,154.27,2.401
diet-victor-floor-pluto-fix-pizza,4,404, , ,9.88,0.367,167.2,2.703
diet-victor-floor-pluto-fix-pizza,1,102, , ,10.66,0.371,134.87,2.197
diet-victor-floor-pluto-fix-pizza,2,207, , ,11.04,0.436,130.73,2.097
diet-victor-floor-pluto-fix-pizza,3,306, , ,8.62,0.333,143.93,2.611
diet-victor-floor-pluto-fix-pizza,4,409, , ,8.28,0.355,134.1,2.15
diet-victor-floor-pluto-fix-pizza,1,109,FL OZ/A,ATPLAN,12.82,0.512,158.47,2.512
diet-victor-floor-pluto-fix-pizza,2,201,FL OZ/A,ATPLAN,15.02,0.575,166.67,2.439
diet-victor-floor-pluto-fix-pizza,3,309,FL OZ/A,ATPLAN,11.62,0.478,137.1,2.161
diet-victor-floor-pluto-fix-pizza,4,401,FL OZ/A,ATPLAN,10.4,0.415,135.0,2.311
diet-victor-floor-pluto-fix-pizza,1,105,FL OZ/A,ATPLAN,12.5,0.511,143.6,2.381
diet-victor-floor-pluto-fix-pizza,2,204,FL OZ/A,ATPLAN,10.22,0.396,141.1,1.94
diet-victor-floor-pluto-fix-pizza,3,307,FL OZ/A,ATPLAN,9.12,0.366,147.0,2.379
diet-victor-floor-pluto-fix-pizza,4,403,FL OZ/A,ATPLAN,11.0,0.432,154.93,2.659
diet-victor-floor-pluto-fix-pizza,1,101, , ,11.36,0.419,152.0,2.447
diet-victor-floor-pluto-fix-pizza,2,209, , ,9.74,0.413,139.1,2.349
diet-victor-floor-pluto-fix-pizza,3,303, , ,10.44,0.407,156.67,2.219
diet-victor-floor-pluto-fix-pizza,4,402, , ,11.5,0.484,174.27,2.913
diet-victor-floor-pluto-fix-pizza,1,106,FL OZ/A,ATPLAN,11.16,0.46,140.4,2.387
diet-victor-floor-pluto-fix-pizza,2,203,FL OZ/A,ATPLAN,10.62,0.399,140.77,2.322
diet-victor-floor-pluto-fix-pizza,3,308,FL OZ/A,ATPLAN,8.66,0.361,139.8,2.045
diet-victor-floor-pluto-fix-pizza,4,406,FL OZ/A,ATPLAN,7.8,0.327,155.63,2.585
diet-victor-floor-pluto-fix-pizza,1,103,FL OZ/A,ATPLAN,10.98,0.411,147.43,2.298
diet-victor-floor-pluto-fix-pizza,2,202,FL OZ/A,ATPLAN,12.04,0.374,153.8,2.565
diet-victor-floor-pluto-fix-pizza,3,304,FL OZ/A,ATPLAN,11.98,0.477,157.87,2.611
diet-victor-floor-pluto-fix-pizza,4,407,FL OZ/A,ATPLAN,9.52,0.39,151.83,2.164
diet-victor-floor-pluto-fix-pizza,1,108,FL OZ/A,ATPLAN,8.94,0.344,145.57,2.323
diet-victor-floor-pluto-fix-pizza,2,206,FL OZ/A,ATPLAN,11.7,0.454,139.47,2.146
diet-victor-floor-pluto-fix-pizza,3,305,FL OZ/A,ATPLAN,11.84,0.462,129.77,2.039
diet-victor-floor-pluto-fix-pizza,4,408,FL OZ/A,ATPLAN,8.78,0.349,132.43,2.213
diet-victor-floor-pluto-fix-pizza,1,107,FL OZ/A,ATPLAN,9.1,0.56,137.47,2.097
diet-victor-floor-pluto-fix-pizza,2,205,FL OZ/A,ATPLAN,10.98,0.445,154.87,2.615
diet-victor-floor-pluto-fix-pizza,3,301,FL OZ/A,ATPLAN,10.52,0.376,140.7,2.213
diet-victor-floor-pluto-fix-pizza,4,405,FL OZ/A,ATPLAN,10.56,0.436,158.23,2.558
