Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
east-helium-butter-early-muppet-florida,1,109, , ,10.18,0.221,49.33,0.932
east-helium-butter-early-muppet-florida,2,207, , ,7.26,0.189,59.30,1.067
east-helium-butter-early-muppet-florida,3,306, , ,6.24,0.14,83.03,1.611
east-helium-butter-early-muppet-florida,4,401, , ,7.8,0.197, , 
east-helium-butter-early-muppet-florida,1,104, , ,7.2,0.207,70.80,1.565
east-helium-butter-early-muppet-florida,2,202, , ,4.98,0.133,58.67,0.909
east-helium-butter-early-muppet-florida,3,303, , ,5.8,0.131,72.53,1.197
east-helium-butter-early-muppet-florida,4,406, , ,8.16,0.169, , 
east-helium-butter-early-muppet-florida,1,106,FL OZ/A,ATPLAN,7.8,0.179,97.27,1.634
east-helium-butter-early-muppet-florida,2,203,FL OZ/A,ATPLAN,5.8,0.164,82.80,1.689
east-helium-butter-early-muppet-florida,3,309,FL OZ/A,ATPLAN,9.06,0.202,91.77,1.285
east-helium-butter-early-muppet-florida,4,402,FL OZ/A,ATPLAN,7.38,0.174, , 
east-helium-butter-early-muppet-florida,1,108,FL OZ/A,ATPLAN,5.34,0.128,90.13,1.947
east-helium-butter-early-muppet-florida,2,209,FL OZ/A,ATPLAN,8.26,0.179,74.10,1.052
east-helium-butter-early-muppet-florida,3,304,FL OZ/A,ATPLAN,6.48,0.135,82.43,1.129
east-helium-butter-early-muppet-florida,4,405,FL OZ/A,ATPLAN,5.88,0.131, , 
east-helium-butter-early-muppet-florida,1,105, , ,7.12,0.176,71.13,1.359
east-helium-butter-early-muppet-florida,2,206, , ,7.28,0.201,60.80,1.186
east-helium-butter-early-muppet-florida,3,302, , ,7.36,0.163,81.87,1.105
east-helium-butter-early-muppet-florida,4,409, , ,8.66,0.201, , 
east-helium-butter-early-muppet-florida,1,103,FL OZ/A,ATPLAN,6.32,0.168,80.70,1.356
east-helium-butter-early-muppet-florida,2,208,FL OZ/A,ATPLAN,6.18,0.135,57.93,1.060
east-helium-butter-early-muppet-florida,3,301,FL OZ/A,ATPLAN,8.48,0.192,88.83,1.421
east-helium-butter-early-muppet-florida,4,407,FL OZ/A,ATPLAN,6.54,0.151, , 
east-helium-butter-early-muppet-florida,1,107,FL OZ/A,ATPLAN,7.86,0.215,72.47,1.304
east-helium-butter-early-muppet-florida,2,204,FL OZ/A,ATPLAN,6.24,0.17,55.67,1.325
east-helium-butter-early-muppet-florida,3,305,FL OZ/A,ATPLAN,7.5,0.176,65.40,0.876
east-helium-butter-early-muppet-florida,4,408,FL OZ/A,ATPLAN,8.36,0.188, , 
east-helium-butter-early-muppet-florida,1,101,FL OZ/A,ATPLAN,9.16,0.266,66.87,0.689
east-helium-butter-early-muppet-florida,2,205,FL OZ/A,ATPLAN,6.44,0.184,86.53,1.956
east-helium-butter-early-muppet-florida,3,308,FL OZ/A,ATPLAN,7.34,0.164,83.23,1.165
east-helium-butter-early-muppet-florida,4,403,FL OZ/A,ATPLAN,8.0,0.179, , 
east-helium-butter-early-muppet-florida,1,102,FL OZ/A,ATPLAN,5.78,0.155,94.77,1.488
east-helium-butter-early-muppet-florida,2,201,FL OZ/A,ATPLAN,7.46,0.204,54.33,0.940
east-helium-butter-early-muppet-florida,3,307,FL OZ/A,ATPLAN,6.36,0.143,76.33,1.244
east-helium-butter-early-muppet-florida,4,404,FL OZ/A,ATPLAN,8.32,0.207, , 
