Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
four-georgia-march-fruit-alanine-steak,1,104, , ,3.74,0.16,114.47,1.78688
four-georgia-march-fruit-alanine-steak,2,203, , ,4.8,0.2,121.43,2.38873666666667
four-georgia-march-fruit-alanine-steak,3,306, , ,5.04,0.23,102.03,2.09187333333333
four-georgia-march-fruit-alanine-steak,4,408, , ,6.0,0.25,131.63,2.66693
four-georgia-march-fruit-alanine-steak,5,502, , ,3.94,0.18,165.33,2.93617333333333
four-georgia-march-fruit-alanine-steak,6,607, , ,4.18,0.18,109.37,2.34755333333333
four-georgia-march-fruit-alanine-steak,1,108, , ,4.48,0.21,97.87,1.88004666666667
four-georgia-march-fruit-alanine-steak,2,201, , ,5.04,0.19,113.3,2.28331333333333
four-georgia-march-fruit-alanine-steak,3,303, , ,5.1,0.22,79.93,1.42431333333333
four-georgia-march-fruit-alanine-steak,4,406, , ,6.38,0.28,121.5,2.30538333333333
four-georgia-march-fruit-alanine-steak,5,508, , ,6.5,0.29,105.4,1.97302
four-georgia-march-fruit-alanine-steak,6,609, , ,6.52,0.28,98.93,2.03939333333333
four-georgia-march-fruit-alanine-steak,1,102,FL OZ/A,ATPLAN,4.2,0.18,110.9,1.92332333333333
four-georgia-march-fruit-alanine-steak,2,206,FL OZ/A,ATPLAN,5.06,0.23,116.63,2.39943666666667
four-georgia-march-fruit-alanine-steak,3,302,FL OZ/A,ATPLAN,4.6,0.2,114.7,2.12951666666667
four-georgia-march-fruit-alanine-steak,4,404,FL OZ/A,ATPLAN,5.66,0.27,143.03,3.42050333333333
four-georgia-march-fruit-alanine-steak,5,507,FL OZ/A,ATPLAN,4.68,0.2,118.97,2.074
four-georgia-march-fruit-alanine-steak,6,606,FL OZ/A,ATPLAN,3.96,0.16,87.93,1.71432666666667
four-georgia-march-fruit-alanine-steak,1,103,FL OZ/A,ATPLAN,3.8,0.17,119.1,2.13488333333333
four-georgia-march-fruit-alanine-steak,2,205,FL OZ/A,ATPLAN,4.34,0.19,79.8,1.67616
four-georgia-march-fruit-alanine-steak,3,304,FL OZ/A,ATPLAN,6.76,0.3,105.07,2.29223
four-georgia-march-fruit-alanine-steak,4,401,FL OZ/A,ATPLAN,4.84,0.2,192.13,3.55525333333333
four-georgia-march-fruit-alanine-steak,5,509,FL OZ/A,ATPLAN,5.36,0.22,122.2,2.03469333333333
four-georgia-march-fruit-alanine-steak,6,605,FL OZ/A,ATPLAN,5.88,0.25,90.3,1.69866333333333
four-georgia-march-fruit-alanine-steak,1,101, , ,4.88,0.21,86.53,1.60719
four-georgia-march-fruit-alanine-steak,2,208, , ,5.82,0.27,112.9,2.19053666666667
four-georgia-march-fruit-alanine-steak,3,307, , ,6.3,0.27,75.47,1.21904666666667
four-georgia-march-fruit-alanine-steak,4,402, , ,5.2,0.22,193.97,3.76333666666667
four-georgia-march-fruit-alanine-steak,5,506, , ,6.96,0.28,120.6,2.27754
four-georgia-march-fruit-alanine-steak,6,603, , ,5.18,0.24,114.97,2.07066666666667
four-georgia-march-fruit-alanine-steak,1,109,FL OZ/A,ATPLAN,5.16,0.21,83.63,1.30614333333333
four-georgia-march-fruit-alanine-steak,2,207,FL OZ/A,ATPLAN,4.18,0.18,117.4,2.27009333333333
four-georgia-march-fruit-alanine-steak,3,308,FL OZ/A,ATPLAN,6.42,0.28,107.8,2.07602
four-georgia-march-fruit-alanine-steak,4,405,FL OZ/A,ATPLAN,5.82,0.25,135.43,2.40365
four-georgia-march-fruit-alanine-steak,5,503,FL OZ/A,ATPLAN,5.82,0.25,124.97,2.28070666666667
four-georgia-march-fruit-alanine-steak,6,604,FL OZ/A,ATPLAN,5.24,0.23,102.57,1.99636
four-georgia-march-fruit-alanine-steak,1,107,FL OZ/A,ATPLAN,4.68,0.21,105.47,1.77731333333333
four-georgia-march-fruit-alanine-steak,2,204,FL OZ/A,ATPLAN,5.14,0.23,100.43,2.40186333333333
four-georgia-march-fruit-alanine-steak,3,309,FL OZ/A,ATPLAN,5.36,0.22,163.2,3.01986666666667
four-georgia-march-fruit-alanine-steak,4,403,FL OZ/A,ATPLAN,6.12,0.27,146.87,2.95611666666667
four-georgia-march-fruit-alanine-steak,5,505,FL OZ/A,ATPLAN,5.94,0.27,116.57,2.21280666666667
four-georgia-march-fruit-alanine-steak,6,601,FL OZ/A,ATPLAN,6.1,0.25,117.8,2.17405333333333
four-georgia-march-fruit-alanine-steak,1,105,FL OZ/A,ATPLAN,4.88,0.21,105.27,2.03480666666667
four-georgia-march-fruit-alanine-steak,2,209,FL OZ/A,ATPLAN,6.4,0.27,102.63,2.15533
four-georgia-march-fruit-alanine-steak,3,305,FL OZ/A,ATPLAN,5.12,0.22,106.83,1.96595
four-georgia-march-fruit-alanine-steak,4,409,FL OZ/A,ATPLAN,5.86,0.24,145.8,2.61367
four-georgia-march-fruit-alanine-steak,5,501,FL OZ/A,ATPLAN,5.5,0.25,97.73,2.08377333333333
four-georgia-march-fruit-alanine-steak,6,608,FL OZ/A,ATPLAN,5.78,0.24,102.37,2.11899
four-georgia-march-fruit-alanine-steak,1,106,FL OZ/A,ATPLAN,4.84,0.21,102.33,1.87031333333333
four-georgia-march-fruit-alanine-steak,2,202,FL OZ/A,ATPLAN,5.18,0.22,122.23,2.11659666666667
four-georgia-march-fruit-alanine-steak,3,301,FL OZ/A,ATPLAN,5.64,0.25,106.1,1.93119333333333
four-georgia-march-fruit-alanine-steak,4,407,FL OZ/A,ATPLAN,5.22,0.23,113.23,2.40997333333333
four-georgia-march-fruit-alanine-steak,5,504,FL OZ/A,ATPLAN,6.2,0.28,113.3,2.44705
four-georgia-march-fruit-alanine-steak,6,602,FL OZ/A,ATPLAN,5.66,0.25,96.5,1.84072
