Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
harry-oklahoma-cat-edward-early-butter,1,101, , ,17.46,0.43,47.5,0.827
harry-oklahoma-cat-edward-early-butter,2,202, , ,36.76,1.003,63.47,1.047
harry-oklahoma-cat-edward-early-butter,3,303, , ,37.12,1.18,70.9,1.212
harry-oklahoma-cat-edward-early-butter,4,408, , ,39.58,1.158,63.23,1.195
harry-oklahoma-cat-edward-early-butter,5,506, , , , , , 
harry-oklahoma-cat-edward-early-butter,6,607, , , , , , 
harry-oklahoma-cat-edward-early-butter,1,102, , ,22.26,0.623,45.33,0.938
harry-oklahoma-cat-edward-early-butter,2,203, , ,39.98,1.117,63.2,1.119
harry-oklahoma-cat-edward-early-butter,3,302, , ,31.48,0.951,48.2,0.945
harry-oklahoma-cat-edward-early-butter,4,403, , ,26.22,0.701,59.33,1.056
harry-oklahoma-cat-edward-early-butter,5,507, , , , , , 
harry-oklahoma-cat-edward-early-butter,6,604, , , , , , 
harry-oklahoma-cat-edward-early-butter,1,103,FL OZ/A,ATPLAN,29.24,0.739,52.4,1.085
harry-oklahoma-cat-edward-early-butter,2,208,FL OZ/A,ATPLAN,45.68,1.31,69.27,1.468
harry-oklahoma-cat-edward-early-butter,3,306,FL OZ/A,ATPLAN,37.62,0.87,76.17,1.318
harry-oklahoma-cat-edward-early-butter,4,405,FL OZ/A,ATPLAN,37.28,1.062,69.8,1.389
harry-oklahoma-cat-edward-early-butter,5,503,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,6,608,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,1,104,FL OZ/A,ATPLAN,34.28,0.849,60.17,1.083
harry-oklahoma-cat-edward-early-butter,2,206,FL OZ/A,ATPLAN,33.88,0.846,59.07,1.134
harry-oklahoma-cat-edward-early-butter,3,309,FL OZ/A,ATPLAN,31.42,0.855,53.7,0.918
harry-oklahoma-cat-edward-early-butter,4,404,FL OZ/A,ATPLAN,32.84,0.875,67.6,1.244
harry-oklahoma-cat-edward-early-butter,5,508,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,6,603,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,1,105, , ,28.74,0.769,42.47,0.752
harry-oklahoma-cat-edward-early-butter,2,205, , ,47.04,1.224,61.03,1.074
harry-oklahoma-cat-edward-early-butter,3,301, , ,35.6,1.059,65.4,1.216
harry-oklahoma-cat-edward-early-butter,4,402, , ,27.12,0.682,58.6,1.119
harry-oklahoma-cat-edward-early-butter,5,505, , , , , , 
harry-oklahoma-cat-edward-early-butter,6,601, , , , , , 
harry-oklahoma-cat-edward-early-butter,1,106,FL OZ/A,ATPLAN,23.38,0.608,46.8,0.917
harry-oklahoma-cat-edward-early-butter,2,207,FL OZ/A,ATPLAN,34.12,0.855,41.1,0.727
harry-oklahoma-cat-edward-early-butter,3,308,FL OZ/A,ATPLAN,35.34,0.96,54.33,1.114
harry-oklahoma-cat-edward-early-butter,4,401,FL OZ/A,ATPLAN,28.82,0.658,75.53,1.314
harry-oklahoma-cat-edward-early-butter,5,502,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,6,606,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,1,107,FL OZ/A,ATPLAN,22.82,0.591,56.97,1.025
harry-oklahoma-cat-edward-early-butter,2,209,FL OZ/A,ATPLAN,37.76,1.068,69.17,1.287
harry-oklahoma-cat-edward-early-butter,3,304,FL OZ/A,ATPLAN,25.28,0.681,59.17,1.166
harry-oklahoma-cat-edward-early-butter,4,406,FL OZ/A,ATPLAN,40.52,1.248,43.37,0.828
harry-oklahoma-cat-edward-early-butter,5,509,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,6,605,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,1,108,FL OZ/A,ATPLAN,27.14,0.613,63.97,1.139
harry-oklahoma-cat-edward-early-butter,2,201,FL OZ/A,ATPLAN,31.66,0.826,63.73,1.134
harry-oklahoma-cat-edward-early-butter,3,307,FL OZ/A,ATPLAN,36.6,0.89,69.37,1.262
harry-oklahoma-cat-edward-early-butter,4,409,FL OZ/A,ATPLAN,37.78,1.052,65.13,1.322
harry-oklahoma-cat-edward-early-butter,5,504,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,6,609,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,1,109,FL OZ/A,ATPLAN,25.2,0.631,58.87,1.095
harry-oklahoma-cat-edward-early-butter,2,204,FL OZ/A,ATPLAN,35.16,0.926,55.6,1.079
harry-oklahoma-cat-edward-early-butter,3,305,FL OZ/A,ATPLAN,38.1,1.086,64.33,1.255
harry-oklahoma-cat-edward-early-butter,4,407,FL OZ/A,ATPLAN,28.3,0.864,50.7,1.024
harry-oklahoma-cat-edward-early-butter,5,501,FL OZ/A,ATPLAN, , , , 
harry-oklahoma-cat-edward-early-butter,6,602,FL OZ/A,ATPLAN, , , , 
