Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
island-beryllium-idaho-wyoming-florida-nitrogen,1,101, , ,4.24,0.181,47.50,0.827
island-beryllium-idaho-wyoming-florida-nitrogen,2,209, , ,4.18,0.18,69.17,1.287
island-beryllium-idaho-wyoming-florida-nitrogen,3,305, , ,3.6,0.155,64.33,1.255
island-beryllium-idaho-wyoming-florida-nitrogen,4,403, , ,3.74,0.164,59.33,1.056
island-beryllium-idaho-wyoming-florida-nitrogen,5,506, , ,5.6,0.24, , 
island-beryllium-idaho-wyoming-florida-nitrogen,6,602, , ,4.96,0.224, , 
island-beryllium-idaho-wyoming-florida-nitrogen,1,102, , ,5.78,0.235,45.33,0.938
island-beryllium-idaho-wyoming-florida-nitrogen,2,206, , ,4.58,0.199,59.07,1.134
island-beryllium-idaho-wyoming-florida-nitrogen,3,304, , ,4.92,0.198,59.17,1.166
island-beryllium-idaho-wyoming-florida-nitrogen,4,407, , ,2.9,0.115,50.70,1.024
island-beryllium-idaho-wyoming-florida-nitrogen,5,503, , ,4.68,0.195, , 
island-beryllium-idaho-wyoming-florida-nitrogen,6,605, , ,6.32,0.28, , 
island-beryllium-idaho-wyoming-florida-nitrogen,1,103,FL OZ/A,ATPLAN,3.92,0.181,52.40,1.085
island-beryllium-idaho-wyoming-florida-nitrogen,2,201,FL OZ/A,ATPLAN,5.42,0.234,63.73,1.134
island-beryllium-idaho-wyoming-florida-nitrogen,3,307,FL OZ/A,ATPLAN,4.02,0.17,69.37,1.262
island-beryllium-idaho-wyoming-florida-nitrogen,4,409,FL OZ/A,ATPLAN,4.88,0.213,65.13,1.322
island-beryllium-idaho-wyoming-florida-nitrogen,5,502,FL OZ/A,ATPLAN,4.3,0.172, , 
island-beryllium-idaho-wyoming-florida-nitrogen,6,608,FL OZ/A,ATPLAN,5.48,0.222, , 
island-beryllium-idaho-wyoming-florida-nitrogen,1,104,FL OZ/A,ATPLAN,4.88,0.224,60.17,1.083
island-beryllium-idaho-wyoming-florida-nitrogen,2,208,FL OZ/A,ATPLAN,4.08,0.159,69.27,1.468
island-beryllium-idaho-wyoming-florida-nitrogen,3,302,FL OZ/A,ATPLAN,4.1,0.175,48.20,0.945
island-beryllium-idaho-wyoming-florida-nitrogen,4,405,FL OZ/A,ATPLAN,3.96,0.171,69.80,1.389
island-beryllium-idaho-wyoming-florida-nitrogen,5,507,FL OZ/A,ATPLAN,3.84,0.163, , 
island-beryllium-idaho-wyoming-florida-nitrogen,6,609,FL OZ/A,ATPLAN,5.76,0.214, , 
island-beryllium-idaho-wyoming-florida-nitrogen,1,105, , ,6.02,0.283,42.47,0.752
island-beryllium-idaho-wyoming-florida-nitrogen,2,207, , ,6.42,0.273,41.10,0.727
island-beryllium-idaho-wyoming-florida-nitrogen,3,301, , ,3.72,0.155,65.40,1.216
island-beryllium-idaho-wyoming-florida-nitrogen,4,406, , ,3.38,0.14,43.37,0.828
island-beryllium-idaho-wyoming-florida-nitrogen,5,504, , ,4.66,0.202, , 
island-beryllium-idaho-wyoming-florida-nitrogen,6,607, , ,6.24,0.263, , 
island-beryllium-idaho-wyoming-florida-nitrogen,1,106,FL OZ/A,ATPLAN,5.62,0.268,46.80,0.917
island-beryllium-idaho-wyoming-florida-nitrogen,2,202,FL OZ/A,ATPLAN,3.48,0.16,63.47,1.047
island-beryllium-idaho-wyoming-florida-nitrogen,3,308,FL OZ/A,ATPLAN,4.36,0.175,54.33,1.114
island-beryllium-idaho-wyoming-florida-nitrogen,4,404,FL OZ/A,ATPLAN,3.52,0.157,67.60,1.244
island-beryllium-idaho-wyoming-florida-nitrogen,5,501,FL OZ/A,ATPLAN,4.86,0.21, , 
island-beryllium-idaho-wyoming-florida-nitrogen,6,603,FL OZ/A,ATPLAN,4.26,0.181, , 
island-beryllium-idaho-wyoming-florida-nitrogen,1,107,FL OZ/A,ATPLAN,6.52,0.303,56.97,1.025
