Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
maryland-summer-nuts-march-minnesota-lamp,1,104, , ,3.9,0.164,97.83,1.810
maryland-summer-nuts-march-minnesota-lamp,2,203, , ,4.28,0.172,76.07,1.171
maryland-summer-nuts-march-minnesota-lamp,3,306, , ,3.84,0.159,87.27,1.545
maryland-summer-nuts-march-minnesota-lamp,4,402, , ,3.84,0.161,88.43,1.256
maryland-summer-nuts-march-minnesota-lamp,1,106, , ,4.7,0.188,115.03,2.094
maryland-summer-nuts-march-minnesota-lamp,2,208, , ,3.84,0.162,70.50,1.191
maryland-summer-nuts-march-minnesota-lamp,3,301, , ,4.54,0.188,108.37,1.452
maryland-summer-nuts-march-minnesota-lamp,4,403, , ,4.98,0.219,98.20,1.601
maryland-summer-nuts-march-minnesota-lamp,1,102,FL OZ/A,ATPLAN,4.44,0.182,102.77,1.521
maryland-summer-nuts-march-minnesota-lamp,2,207,FL OZ/A,ATPLAN,3.08,0.124,92.27,1.467
maryland-summer-nuts-march-minnesota-lamp,3,304,FL OZ/A,ATPLAN,4.84,0.197,92.37,1.413
maryland-summer-nuts-march-minnesota-lamp,4,405,FL OZ/A,ATPLAN,5.64,0.23,98.20,1.247
maryland-summer-nuts-march-minnesota-lamp,1,109,FL OZ/A,ATPLAN,3.88,0.166,92.73,1.818
maryland-summer-nuts-march-minnesota-lamp,2,202,FL OZ/A,ATPLAN,4.42,0.169,74.20,1.543
maryland-summer-nuts-march-minnesota-lamp,3,305,FL OZ/A,ATPLAN,3.9,0.17,95.03,1.378
maryland-summer-nuts-march-minnesota-lamp,4,406,FL OZ/A,ATPLAN,7.58,0.275,113.03,1.628
maryland-summer-nuts-march-minnesota-lamp,1,107, , ,3.48,0.152,78.13,1.250
maryland-summer-nuts-march-minnesota-lamp,2,209, , ,3.76,0.159,80.20,1.395
maryland-summer-nuts-march-minnesota-lamp,3,303, , ,3.84,0.157,79.60,1.059
maryland-summer-nuts-march-minnesota-lamp,4,408, , ,4.18,0.171,87.93,1.381
maryland-summer-nuts-march-minnesota-lamp,1,105,FL OZ/A,ATPLAN,4.22,0.176,87.40,1.617
maryland-summer-nuts-march-minnesota-lamp,2,201,FL OZ/A,ATPLAN,4.94,0.19,63.87,1.277
maryland-summer-nuts-march-minnesota-lamp,3,308,FL OZ/A,ATPLAN,4.58,0.18,95.37,1.431
maryland-summer-nuts-march-minnesota-lamp,4,409,FL OZ/A,ATPLAN,4.38,0.176, , 
maryland-summer-nuts-march-minnesota-lamp,1,101,FL OZ/A,ATPLAN,3.7,0.183,112.67,1.510
maryland-summer-nuts-march-minnesota-lamp,2,204,FL OZ/A,ATPLAN,5.24,0.214,92.73,1.688
maryland-summer-nuts-march-minnesota-lamp,3,302,FL OZ/A,ATPLAN,4.42,0.18,93.97,1.400
maryland-summer-nuts-march-minnesota-lamp,4,407,FL OZ/A,ATPLAN,4.46,0.191,108.37,1.495
maryland-summer-nuts-march-minnesota-lamp,1,108,FL OZ/A,ATPLAN,4.06,0.174,83.40,1.318
maryland-summer-nuts-march-minnesota-lamp,2,205,FL OZ/A,ATPLAN,4.84,0.189,84.77,1.416
maryland-summer-nuts-march-minnesota-lamp,3,309,FL OZ/A,ATPLAN,4.86,0.196,90.03,1.639
maryland-summer-nuts-march-minnesota-lamp,4,404,FL OZ/A,ATPLAN,4.46,0.204,95.57,1.462
maryland-summer-nuts-march-minnesota-lamp,1,103,FL OZ/A,ATPLAN,4.0,0.163,97.90,1.606
maryland-summer-nuts-march-minnesota-lamp,2,206,FL OZ/A,ATPLAN,4.46,0.177,79.60,1.425
maryland-summer-nuts-march-minnesota-lamp,3,307,FL OZ/A,ATPLAN,4.64,0.186,96.40,1.706
maryland-summer-nuts-march-minnesota-lamp,4,401,FL OZ/A,ATPLAN,4.42,0.179,62.50,1.069
