Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
mountain-november-chicken-avocado-magazine-oven,1,104, , ,18.12,0.609,89.13,2.246
mountain-november-chicken-avocado-magazine-oven,2,206, , ,17.94,0.554,150.47,4.303
mountain-november-chicken-avocado-magazine-oven,3,302, , ,13.2,0.434,126.2,2.915
mountain-november-chicken-avocado-magazine-oven,4,407, , ,17.76,0.611,115.77,2.211
mountain-november-chicken-avocado-magazine-oven,1,108, , ,24.74,0.75,188.07,4.194
mountain-november-chicken-avocado-magazine-oven,2,201, , ,23.76,0.729,148.47,3.89
mountain-november-chicken-avocado-magazine-oven,3,307, , ,14.08,0.476,134.2,1.919
mountain-november-chicken-avocado-magazine-oven,4,402, , ,15.32,0.47,127.97,1.983
mountain-november-chicken-avocado-magazine-oven,1,107,FL OZ/A,ATPLAN,18.22,0.583,129.33,3.479
mountain-november-chicken-avocado-magazine-oven,2,208,FL OZ/A,ATPLAN,22.76,0.769,117.7,2.954
mountain-november-chicken-avocado-magazine-oven,3,303,FL OZ/A,ATPLAN,21.28,0.728,134.93,2.348
mountain-november-chicken-avocado-magazine-oven,4,404,FL OZ/A,ATPLAN,13.52,0.489,134.97,2.402
mountain-november-chicken-avocado-magazine-oven,1,103,FL OZ/A,ATPLAN,28.12,0.942,104.97,2.824
mountain-november-chicken-avocado-magazine-oven,2,204,FL OZ/A,ATPLAN,20.28,0.647,112.93,2.722
mountain-november-chicken-avocado-magazine-oven,3,305,FL OZ/A,ATPLAN,16.2,0.564,144.23,2.423
mountain-november-chicken-avocado-magazine-oven,4,401,FL OZ/A,ATPLAN,11.28,0.361,115.3,2.041
mountain-november-chicken-avocado-magazine-oven,1,109, , ,21.14,0.712,111.47,2.731
mountain-november-chicken-avocado-magazine-oven,2,207, , ,17.9,0.594,111.37,2.762
mountain-november-chicken-avocado-magazine-oven,3,301, , ,13.54,0.459,177.87,2.561
mountain-november-chicken-avocado-magazine-oven,4,408, , ,13.82,0.446,179.03,2.417
mountain-november-chicken-avocado-magazine-oven,1,101,FL OZ/A,ATPLAN,22.74,0.532,154.07,3.698
mountain-november-chicken-avocado-magazine-oven,2,203,FL OZ/A,ATPLAN,22.18,0.776,108.3,2.545
mountain-november-chicken-avocado-magazine-oven,3,309,FL OZ/A,ATPLAN,18.02,0.571,132.7,2.986
mountain-november-chicken-avocado-magazine-oven,4,405,FL OZ/A,ATPLAN,18.18,0.654,102.9,2.202
mountain-november-chicken-avocado-magazine-oven,1,106,FL OZ/A,ATPLAN,25.06,0.799,113.73,3.128
mountain-november-chicken-avocado-magazine-oven,2,205,FL OZ/A,ATPLAN,21.86,0.728,209.77,3.167
mountain-november-chicken-avocado-magazine-oven,3,304,FL OZ/A,ATPLAN,19.76,0.668,157.97,2.37
mountain-november-chicken-avocado-magazine-oven,4,409,FL OZ/A,ATPLAN,15.48,0.506,118.33,1.917
mountain-november-chicken-avocado-magazine-oven,1,102,FL OZ/A,ATPLAN,22.78,0.843,229.6,6.199
mountain-november-chicken-avocado-magazine-oven,2,209,FL OZ/A,ATPLAN,17.84,0.571,147.43,3.774
mountain-november-chicken-avocado-magazine-oven,3,308,FL OZ/A,ATPLAN,18.08,0.582,136.63,2.446
mountain-november-chicken-avocado-magazine-oven,4,406,FL OZ/A,ATPLAN,15.36,0.513,117.9,2.299
mountain-november-chicken-avocado-magazine-oven,1,105,FL OZ/A,ATPLAN,23.86,0.797,159.63,4.518
mountain-november-chicken-avocado-magazine-oven,2,202,FL OZ/A,ATPLAN,21.6,0.721,138.03,3.037
mountain-november-chicken-avocado-magazine-oven,3,306,FL OZ/A,ATPLAN,16.9,0.517,111.9,2.025
mountain-november-chicken-avocado-magazine-oven,4,403,FL OZ/A,ATPLAN,16.48,0.532,122.27,1.968
