Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
nine-texas-march-texas-chicken-hotel,1,101, , ,15.32,0.509,120.50,2.422
nine-texas-march-texas-chicken-hotel,2,205, , ,10.58,0.419,128.70,2.329
nine-texas-march-texas-chicken-hotel,3,306, , ,11.8,0.452,121.30,1.904
nine-texas-march-texas-chicken-hotel,4,404, , ,13.2,0.473,150.23,3.050
nine-texas-march-texas-chicken-hotel,5,502, , ,11.96,0.457, , 
nine-texas-march-texas-chicken-hotel,6,603, , ,11.12,0.396, , 
nine-texas-march-texas-chicken-hotel,1,102, , ,13.4,0.438,131.37,2.811
nine-texas-march-texas-chicken-hotel,2,203, , ,12.28,0.431,114.73,2.283
nine-texas-march-texas-chicken-hotel,3,302, , ,12.42,0.473,127.73,2.223
nine-texas-march-texas-chicken-hotel,4,406, , ,12.14,0.409,154.60,2.582
nine-texas-march-texas-chicken-hotel,5,503, , ,13.84,0.522, , 
nine-texas-march-texas-chicken-hotel,6,605, , ,12.26,0.441, , 
nine-texas-march-texas-chicken-hotel,1,103,FL OZ/A,ATPLAN,11.0,0.403,116.53,2.261
nine-texas-march-texas-chicken-hotel,2,201,FL OZ/A,ATPLAN,14.02,0.471,129.70,1.868
nine-texas-march-texas-chicken-hotel,3,305,FL OZ/A,ATPLAN,10.8,0.409,122.50,2.438
nine-texas-march-texas-chicken-hotel,4,408,FL OZ/A,ATPLAN,13.1,0.397,181.13,3.478
nine-texas-march-texas-chicken-hotel,5,501,FL OZ/A,ATPLAN,12.4,0.362, , 
nine-texas-march-texas-chicken-hotel,6,602,FL OZ/A,ATPLAN,12.4,0.472, , 
nine-texas-march-texas-chicken-hotel,1,104,FL OZ/A,ATPLAN,10.06,0.335,116.97,2.293
nine-texas-march-texas-chicken-hotel,2,209,FL OZ/A,ATPLAN,11.74,0.426,118.77,2.031
nine-texas-march-texas-chicken-hotel,3,309,FL OZ/A,ATPLAN,11.0,0.342,128.43,2.106
nine-texas-march-texas-chicken-hotel,4,402,FL OZ/A,ATPLAN,12.3,0.407,123.73,2.190
nine-texas-march-texas-chicken-hotel,5,505,FL OZ/A,ATPLAN,12.26,0.424, , 
nine-texas-march-texas-chicken-hotel,6,604,FL OZ/A,ATPLAN,12.42,0.448, , 
nine-texas-march-texas-chicken-hotel,1,105, , ,11.24,0.372,100.07,1.571
nine-texas-march-texas-chicken-hotel,2,204, , ,11.6,0.445,122.93,2.803
nine-texas-march-texas-chicken-hotel,3,303, , ,10.8,0.316,103.17,1.764
nine-texas-march-texas-chicken-hotel,4,407, , ,12.34,0.434,164.93,3.051
nine-texas-march-texas-chicken-hotel,5,504, , ,11.02,0.392, , 
nine-texas-march-texas-chicken-hotel,6,606, , ,10.68,0.354, , 
nine-texas-march-texas-chicken-hotel,1,106,FL OZ/A,ATPLAN,13.02,0.473,103.73,1.556
nine-texas-march-texas-chicken-hotel,2,207,FL OZ/A,ATPLAN,10.62,0.373,103.80,1.443
nine-texas-march-texas-chicken-hotel,3,308,FL OZ/A,ATPLAN,13.02,0.435,120.10,1.910
nine-texas-march-texas-chicken-hotel,4,401,FL OZ/A,ATPLAN,9.98,0.337,126.87,2.601
nine-texas-march-texas-chicken-hotel,5,506,FL OZ/A,ATPLAN,11.8,0.401, , 
nine-texas-march-texas-chicken-hotel,6,609,FL OZ/A,ATPLAN,9.94,0.391, , 
nine-texas-march-texas-chicken-hotel,1,107,FL OZ/A,ATPLAN,13.08,0.473,118.10,2.079
nine-texas-march-texas-chicken-hotel,2,208,FL OZ/A,ATPLAN,10.26,0.346,110.07,1.992
nine-texas-march-texas-chicken-hotel,3,307,FL OZ/A,ATPLAN,11.42,0.372,118.33,2.307
nine-texas-march-texas-chicken-hotel,4,405,FL OZ/A,ATPLAN,13.6,0.524,170.43,2.914
nine-texas-march-texas-chicken-hotel,5,507,FL OZ/A,ATPLAN,10.92,0.373, , 
nine-texas-march-texas-chicken-hotel,6,608,FL OZ/A,ATPLAN,11.06,0.437, , 
nine-texas-march-texas-chicken-hotel,1,108,FL OZ/A,ATPLAN,13.78,0.464,113.03,2.272
nine-texas-march-texas-chicken-hotel,2,202,FL OZ/A,ATPLAN,13.2,0.477,126.43,2.137
nine-texas-march-texas-chicken-hotel,3,301,FL OZ/A,ATPLAN,9.88,0.36,115.57,1.780
nine-texas-march-texas-chicken-hotel,4,403,FL OZ/A,ATPLAN,12.3,0.433,115.20,1.670
nine-texas-march-texas-chicken-hotel,5,508,FL OZ/A,ATPLAN,13.1,0.503, , 
nine-texas-march-texas-chicken-hotel,6,607,FL OZ/A,ATPLAN,13.66,0.478, , 
nine-texas-march-texas-chicken-hotel,1,109,FL OZ/A,ATPLAN,10.96,0.393,111.17,1.979
nine-texas-march-texas-chicken-hotel,2,206,FL OZ/A,ATPLAN,14.04,0.538,125.17,2.629
nine-texas-march-texas-chicken-hotel,3,304,FL OZ/A,ATPLAN,11.6,0.399,129.73,2.167
nine-texas-march-texas-chicken-hotel,4,409,FL OZ/A,ATPLAN,10.62,0.309,155.87,3.367
nine-texas-march-texas-chicken-hotel,5,509,FL OZ/A,ATPLAN,11.9,0.397, , 
nine-texas-march-texas-chicken-hotel,6,601,FL OZ/A,ATPLAN,11.76,0.423, , 
