Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
oklahoma-blossom-april-ceiling-virginia-river,1,102, , ,3.08,0.092,142.3,1.85
oklahoma-blossom-april-ceiling-virginia-river,2,201, , ,1.64,0.057,62.4,0.98
oklahoma-blossom-april-ceiling-virginia-river,3,306, , ,2.32,0.057,96.7,1.905
oklahoma-blossom-april-ceiling-virginia-river,4,401, , ,1.94,0.065,76.73,0.905
oklahoma-blossom-april-ceiling-virginia-river,1,107, , ,4.34,0.148,132.93,2.579
oklahoma-blossom-april-ceiling-virginia-river,2,203, , ,3.18,0.085,121.27,1.746
oklahoma-blossom-april-ceiling-virginia-river,3,302, , ,2.38,0.064,81.97,0.91
oklahoma-blossom-april-ceiling-virginia-river,4,404, , ,1.64,0.04,67.93,1.019
oklahoma-blossom-april-ceiling-virginia-river,1,105,FL OZ/A,ATPLAN,1.88,0.058,70.83,0.949
oklahoma-blossom-april-ceiling-virginia-river,2,208,FL OZ/A,ATPLAN,1.66,0.045,72.0,0.842
oklahoma-blossom-april-ceiling-virginia-river,3,305,FL OZ/A,ATPLAN,2.98,0.083,131.2,1.706
oklahoma-blossom-april-ceiling-virginia-river,4,407,FL OZ/A,ATPLAN,2.1,0.067,66.97,0.81
oklahoma-blossom-april-ceiling-virginia-river,1,104,FL OZ/A,ATPLAN,2.32,0.068,71.5,1.201
oklahoma-blossom-april-ceiling-virginia-river,2,206,FL OZ/A,ATPLAN,2.1,0.058,85.8,1.484
oklahoma-blossom-april-ceiling-virginia-river,3,308,FL OZ/A,ATPLAN,3.02,0.078,112.13,1.772
oklahoma-blossom-april-ceiling-virginia-river,4,409,FL OZ/A,ATPLAN,1.94,0.058,90.33,1.563
oklahoma-blossom-april-ceiling-virginia-river,1,109, , ,2.72,0.078,82.6,1.206
oklahoma-blossom-april-ceiling-virginia-river,2,202, , ,3.46,0.102,105.83,1.249
oklahoma-blossom-april-ceiling-virginia-river,3,301, , ,1.96,0.051,82.3,1.366
oklahoma-blossom-april-ceiling-virginia-river,4,402, , ,2.56,0.078,146.07,2.834
oklahoma-blossom-april-ceiling-virginia-river,1,101,FL OZ/A,ATPLAN,2.64,0.077,119.47,2.019
oklahoma-blossom-april-ceiling-virginia-river,2,207,FL OZ/A,ATPLAN,2.42,0.055,82.33,1.103
oklahoma-blossom-april-ceiling-virginia-river,3,309,FL OZ/A,ATPLAN,2.6,0.062,94.03,1.429
oklahoma-blossom-april-ceiling-virginia-river,4,403,FL OZ/A,ATPLAN,1.58,0.04,75.63,1.543
oklahoma-blossom-april-ceiling-virginia-river,1,103,FL OZ/A,ATPLAN,2.64,0.068,98.47,1.615
oklahoma-blossom-april-ceiling-virginia-river,2,204,FL OZ/A,ATPLAN,1.0,0.021,98.53,1.301
oklahoma-blossom-april-ceiling-virginia-river,3,303,FL OZ/A,ATPLAN,2.64,0.062,88.43,1.636
oklahoma-blossom-april-ceiling-virginia-river,4,408,FL OZ/A,ATPLAN,1.56,0.044,58.1,0.959
oklahoma-blossom-april-ceiling-virginia-river,1,106,FL OZ/A,ATPLAN,2.22,0.054,61.1,1.002
oklahoma-blossom-april-ceiling-virginia-river,2,209,FL OZ/A,ATPLAN,1.48,0.038,78.2,1.376
oklahoma-blossom-april-ceiling-virginia-river,3,304,FL OZ/A,ATPLAN,2.52,0.065,112.03,1.636
oklahoma-blossom-april-ceiling-virginia-river,4,405,FL OZ/A,ATPLAN,1.42,0.046,84.03,1.303
oklahoma-blossom-april-ceiling-virginia-river,1,108,FL OZ/A,ATPLAN,3.14,0.084,98.03,1.431
oklahoma-blossom-april-ceiling-virginia-river,2,205,FL OZ/A,ATPLAN,1.76,0.044,111.03,1.366
oklahoma-blossom-april-ceiling-virginia-river,3,307,FL OZ/A,ATPLAN,2.3,0.072,115.03,1.795
oklahoma-blossom-april-ceiling-virginia-river,4,406,FL OZ/A,ATPLAN,1.18,0.028,93.4,1.448
