Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
red-maine-artist-south-wisconsin-october,1,106, , ,15.58,0.491,81.30,1.050
red-maine-artist-south-wisconsin-october,2,208, , ,18.32,0.559,76.60,0.837
red-maine-artist-south-wisconsin-october,3,302, , ,18.44,0.597,70.50,0.967
red-maine-artist-south-wisconsin-october,4,408, , ,19.66,0.598,73.27,0.697
red-maine-artist-south-wisconsin-october,5,507, , , , , , 
red-maine-artist-south-wisconsin-october,6,604, , , , , , 
red-maine-artist-south-wisconsin-october,1,105, , ,13.16,0.415, , 
red-maine-artist-south-wisconsin-october,2,206, , ,15.18,0.492,77.73,0.863
red-maine-artist-south-wisconsin-october,3,309, , ,27.30,0.925,75.77,0.750
red-maine-artist-south-wisconsin-october,4,401, , ,18.58,0.634,70.90,0.783
red-maine-artist-south-wisconsin-october,5,502, , , , , , 
red-maine-artist-south-wisconsin-october,6,606, , , , , , 
red-maine-artist-south-wisconsin-october,1,103,FL OZ/A,ATPLAN,16.18,0.537, , 
red-maine-artist-south-wisconsin-october,2,209,FL OZ/A,ATPLAN,35.14,1.230,63.50,0.700
red-maine-artist-south-wisconsin-october,3,308,FL OZ/A,ATPLAN,21.96,0.749,74.60,0.833
red-maine-artist-south-wisconsin-october,4,405,FL OZ/A,ATPLAN,22.74,0.782,81.83,1.047
red-maine-artist-south-wisconsin-october,5,504,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,6,608,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,1,109,FL OZ/A,ATPLAN,24.62,0.746,65.17,0.873
red-maine-artist-south-wisconsin-october,2,202,FL OZ/A,ATPLAN,19.94,0.624,77.80,0.970
red-maine-artist-south-wisconsin-october,3,307,FL OZ/A,ATPLAN,14.24,0.459,63.90,0.853
red-maine-artist-south-wisconsin-october,4,403,FL OZ/A,ATPLAN,19.32,0.668,69.73,0.883
red-maine-artist-south-wisconsin-october,5,508,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,6,603,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,1,107, , ,18.36,0.536,63.50,0.687
red-maine-artist-south-wisconsin-october,2,201, , ,18.00,0.635,70.75,0.900
red-maine-artist-south-wisconsin-october,3,306, , ,18.42,0.525,83.50,1.083
red-maine-artist-south-wisconsin-october,4,409, , ,20.16,0.639,61.40,0.717
red-maine-artist-south-wisconsin-october,5,503, , , , , , 
red-maine-artist-south-wisconsin-october,6,601, , , , , , 
red-maine-artist-south-wisconsin-october,1,104,FL OZ/A,ATPLAN,16.10,0.506,81.00,1.220
red-maine-artist-south-wisconsin-october,2,205,FL OZ/A,ATPLAN,14.66,0.450,73.75,0.825
red-maine-artist-south-wisconsin-october,3,301,FL OZ/A,ATPLAN,18.52,0.626,74.93,1.027
red-maine-artist-south-wisconsin-october,4,406,FL OZ/A,ATPLAN,22.54,0.825,67.17,0.940
red-maine-artist-south-wisconsin-october,5,509,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,6,607,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,1,102,FL OZ/A,ATPLAN,14.86,0.486,76.30,1.070
red-maine-artist-south-wisconsin-october,2,207,FL OZ/A,ATPLAN,16.26,0.546,80.90,1.080
red-maine-artist-south-wisconsin-october,3,303,FL OZ/A,ATPLAN,21.24,0.739,61.50,0.960
red-maine-artist-south-wisconsin-october,4,402,FL OZ/A,ATPLAN,24.46,0.905,75.30,0.780
red-maine-artist-south-wisconsin-october,5,501,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,6,609,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,1,108,FL OZ/A,ATPLAN,17.02,0.594,70.33,0.843
red-maine-artist-south-wisconsin-october,2,204,FL OZ/A,ATPLAN,17.84,0.635,73.60,0.800
red-maine-artist-south-wisconsin-october,3,305,FL OZ/A,ATPLAN,19.10,0.617,73.80,0.990
red-maine-artist-south-wisconsin-october,4,404,FL OZ/A,ATPLAN,27.88,0.853,79.33,1.083
red-maine-artist-south-wisconsin-october,5,506,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,6,605,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,1,101,FL OZ/A,ATPLAN,13.76,0.462, , 
red-maine-artist-south-wisconsin-october,2,203,FL OZ/A,ATPLAN,19.84,0.655,73.53,1.010
red-maine-artist-south-wisconsin-october,3,304,FL OZ/A,ATPLAN,26.02,0.846,84.77,1.403
red-maine-artist-south-wisconsin-october,4,407,FL OZ/A,ATPLAN,29.22,1.011,73.13,0.710
red-maine-artist-south-wisconsin-october,5,505,FL OZ/A,ATPLAN, , , , 
red-maine-artist-south-wisconsin-october,6,602,FL OZ/A,ATPLAN, , , , 
