Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
september-oranges-crazy-florida-delta-monkey,1,104, , ,2.5,0.087,106.07,1.877
september-oranges-crazy-florida-delta-monkey,2,206, , ,3.6,0.128,159.77,3.115
september-oranges-crazy-florida-delta-monkey,3,302, , ,2.84,0.105, , 
september-oranges-crazy-florida-delta-monkey,4,118, , ,3.64,0.119,127.23,1.807
september-oranges-crazy-florida-delta-monkey,5,210, , ,2.56,0.089,135.6,2.766
september-oranges-crazy-florida-delta-monkey,6,314, , ,3.88,0.138, , 
september-oranges-crazy-florida-delta-monkey,1,109, , ,2.72,0.086,105.73,1.723
september-oranges-crazy-florida-delta-monkey,2,208, , ,3.12,0.111,96.03,1.537
september-oranges-crazy-florida-delta-monkey,3,307, , ,2.56,0.084, , 
september-oranges-crazy-florida-delta-monkey,4,115, , ,2.96,0.095,118.87,2.223
september-oranges-crazy-florida-delta-monkey,5,214, , ,3.56,0.118,132.8,2.908
september-oranges-crazy-florida-delta-monkey,6,312, , ,3.5,0.12, , 
september-oranges-crazy-florida-delta-monkey,1,107,FL OZ/A,ATPLAN,2.84,0.094,125.67,2.765
september-oranges-crazy-florida-delta-monkey,2,201,FL OZ/A,ATPLAN,2.66,0.087,101.4,1.622
september-oranges-crazy-florida-delta-monkey,3,308,FL OZ/A,ATPLAN,3.24,0.121, , 
september-oranges-crazy-florida-delta-monkey,4,112,FL OZ/A,ATPLAN,3.68,0.121,130.8,2.42
september-oranges-crazy-florida-delta-monkey,5,216,FL OZ/A,ATPLAN,2.58,0.095,144.4,2.224
september-oranges-crazy-florida-delta-monkey,6,315,FL OZ/A,ATPLAN,2.94,0.091, , 
september-oranges-crazy-florida-delta-monkey,1,101,FL OZ/A,ATPLAN,2.7,0.06,109.93,1.627
september-oranges-crazy-florida-delta-monkey,2,203,FL OZ/A,ATPLAN,3.28,0.108,114.33,1.635
september-oranges-crazy-florida-delta-monkey,3,309,FL OZ/A,ATPLAN,3.58,0.134, , 
september-oranges-crazy-florida-delta-monkey,4,111,FL OZ/A,ATPLAN,3.6,0.113,117.13,2.12
september-oranges-crazy-florida-delta-monkey,5,217,FL OZ/A,ATPLAN,3.0,0.101,114.6,2.361
september-oranges-crazy-florida-delta-monkey,6,318,FL OZ/A,ATPLAN,3.74,0.138, , 
september-oranges-crazy-florida-delta-monkey,1,103, , ,2.92,0.09,107.07,2.355
september-oranges-crazy-florida-delta-monkey,2,209, , ,2.22,0.078,104.73,1.812
september-oranges-crazy-florida-delta-monkey,3,301, , ,1.86,0.071, , 
september-oranges-crazy-florida-delta-monkey,4,117, , ,3.34,0.108,118.5,2.275
september-oranges-crazy-florida-delta-monkey,5,215, , ,2.38,0.072,105.13,1.703
september-oranges-crazy-florida-delta-monkey,6,316, , ,3.06,0.111, , 
september-oranges-crazy-florida-delta-monkey,1,102,FL OZ/A,ATPLAN,2.88,0.074,138.77,2.775
september-oranges-crazy-florida-delta-monkey,2,207,FL OZ/A,ATPLAN,3.46,0.119,110.7,1.793
september-oranges-crazy-florida-delta-monkey,3,306,FL OZ/A,ATPLAN,4.08,0.133, , 
september-oranges-crazy-florida-delta-monkey,4,113,FL OZ/A,ATPLAN,3.1,0.099,116.5,2.365
september-oranges-crazy-florida-delta-monkey,5,218,FL OZ/A,ATPLAN,2.88,0.093,107.47,1.644
september-oranges-crazy-florida-delta-monkey,6,310,FL OZ/A,ATPLAN,3.44,0.115, , 
september-oranges-crazy-florida-delta-monkey,1,106,FL OZ/A,ATPLAN,2.6,0.085,111.73,1.989
september-oranges-crazy-florida-delta-monkey,2,205,FL OZ/A,ATPLAN,2.82,0.1,100.57,2.092
september-oranges-crazy-florida-delta-monkey,3,303,FL OZ/A,ATPLAN,3.54,0.114, , 
september-oranges-crazy-florida-delta-monkey,4,114,FL OZ/A,ATPLAN,3.9,0.134,116.2,1.673
september-oranges-crazy-florida-delta-monkey,5,211,FL OZ/A,ATPLAN,2.88,0.106,118.77,1.888
september-oranges-crazy-florida-delta-monkey,6,317,FL OZ/A,ATPLAN,4.0,0.145, , 
september-oranges-crazy-florida-delta-monkey,1,108,FL OZ/A,ATPLAN,2.34,0.073,102.83,2.201
september-oranges-crazy-florida-delta-monkey,2,204,FL OZ/A,ATPLAN,3.62,0.112,108.37,2.276
september-oranges-crazy-florida-delta-monkey,3,305,FL OZ/A,ATPLAN,2.9,0.095, , 
september-oranges-crazy-florida-delta-monkey,4,110,FL OZ/A,ATPLAN,2.64,0.084,116.7,2.019
september-oranges-crazy-florida-delta-monkey,5,213,FL OZ/A,ATPLAN,2.28,0.084,97.7,1.68
september-oranges-crazy-florida-delta-monkey,6,311,FL OZ/A,ATPLAN,3.26,0.118, , 
september-oranges-crazy-florida-delta-monkey,1,105,FL OZ/A,ATPLAN,3.0,0.104,122.17,2.126
september-oranges-crazy-florida-delta-monkey,2,202,FL OZ/A,ATPLAN,3.62,0.132,133.67,2.406
september-oranges-crazy-florida-delta-monkey,3,304,FL OZ/A,ATPLAN,3.08,0.104, , 
september-oranges-crazy-florida-delta-monkey,4,116,FL OZ/A,ATPLAN,3.58,0.115,84.63,1.54
september-oranges-crazy-florida-delta-monkey,5,212,FL OZ/A,ATPLAN,2.46,0.089,107.97,1.587
september-oranges-crazy-florida-delta-monkey,6,313,FL OZ/A,ATPLAN,2.44,0.086, , 
