Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
tennis-sixteen-grey-ink-white-louisiana,1,102, , ,4.52,0.184,191.27,2.39
tennis-sixteen-grey-ink-white-louisiana,2,209, , ,5.36,0.188,165.57,2.67
tennis-sixteen-grey-ink-white-louisiana,3,306, , ,5.42,0.214, , 
tennis-sixteen-grey-ink-white-louisiana,4,404, , ,5.86,0.22, , 
tennis-sixteen-grey-ink-white-louisiana,5,501, , ,4.38,0.168,191.3,2.33
tennis-sixteen-grey-ink-white-louisiana,6,607, , ,5.98,0.225,221.67,3.57
tennis-sixteen-grey-ink-white-louisiana,1,108, , ,5.22,0.199,199.2,2.89
tennis-sixteen-grey-ink-white-louisiana,2,205, , ,6.18,0.237,189.8,2.58
tennis-sixteen-grey-ink-white-louisiana,3,308, , ,5.36,0.218, , 
tennis-sixteen-grey-ink-white-louisiana,4,407, , ,4.72,0.206, , 
tennis-sixteen-grey-ink-white-louisiana,5,503, , ,6.22,0.224,195.2,3.24
tennis-sixteen-grey-ink-white-louisiana,6,605, , ,6.38,0.251,194.9,1.93
tennis-sixteen-grey-ink-white-louisiana,1,109,FL OZ/A,ATPLAN,6.26,0.227,191,1.47
tennis-sixteen-grey-ink-white-louisiana,2,207,FL OZ/A,ATPLAN,6.0,0.222,195,2.15
tennis-sixteen-grey-ink-white-louisiana,3,303,FL OZ/A,ATPLAN,5.54,0.22, , 
tennis-sixteen-grey-ink-white-louisiana,4,406,FL OZ/A,ATPLAN,5.8,0.233, , 
tennis-sixteen-grey-ink-white-louisiana,5,508,FL OZ/A,ATPLAN,4.7,0.188,201.3,2.31
tennis-sixteen-grey-ink-white-louisiana,6,604,FL OZ/A,ATPLAN,6.0,0.238,198.6,2.38
tennis-sixteen-grey-ink-white-louisiana,1,105,FL OZ/A,ATPLAN,6.3,0.235,185.97,1.21
tennis-sixteen-grey-ink-white-louisiana,2,208,FL OZ/A,ATPLAN,4.76,0.172,198.57,3.16
tennis-sixteen-grey-ink-white-louisiana,3,302,FL OZ/A,ATPLAN,6.46,0.28, , 
tennis-sixteen-grey-ink-white-louisiana,4,408,FL OZ/A,ATPLAN,4.5,0.188, , 
tennis-sixteen-grey-ink-white-louisiana,5,504,FL OZ/A,ATPLAN,6.72,0.23,198.9,2.25
tennis-sixteen-grey-ink-white-louisiana,6,606,FL OZ/A,ATPLAN,5.32,0.191,179.43,2.26
tennis-sixteen-grey-ink-white-louisiana,1,103, , ,5.26,0.208,196.6,2.08
tennis-sixteen-grey-ink-white-louisiana,2,206, , ,5.18,0.182,181.93,2.49
tennis-sixteen-grey-ink-white-louisiana,3,301, , ,6.14,0.236, , 
tennis-sixteen-grey-ink-white-louisiana,4,405, , ,7.02,0.261, , 
tennis-sixteen-grey-ink-white-louisiana,5,502, , ,5.68,0.225,186.4,2.01
