Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
washington-uranus-eighteen-queen-cardinal-cola,1,101, , ,7.16,0.28,103.5,1.894
washington-uranus-eighteen-queen-cardinal-cola,2,208, , , , ,104.9,1.385
washington-uranus-eighteen-queen-cardinal-cola,3,304, , ,7.08,0.278,95.77,1.14
washington-uranus-eighteen-queen-cardinal-cola,4,407, , ,7.96,0.294,91.8,1.34
washington-uranus-eighteen-queen-cardinal-cola,1,102, , ,7.1,0.282,78.2,1.455
washington-uranus-eighteen-queen-cardinal-cola,2,205, , ,6.54,0.239,74.0,0.977
washington-uranus-eighteen-queen-cardinal-cola,3,307, , ,9.86,0.335,81.8,1.202
washington-uranus-eighteen-queen-cardinal-cola,4,401, , ,9.42,0.347,82.83,1.259
washington-uranus-eighteen-queen-cardinal-cola,1,103,FL OZ/A,ATPLAN,7.84,0.31,92.1,1.142
washington-uranus-eighteen-queen-cardinal-cola,2,207,FL OZ/A,ATPLAN,5.48,0.136,74.4,0.952
washington-uranus-eighteen-queen-cardinal-cola,3,303,FL OZ/A,ATPLAN,11.06,0.417,91.03,1.247
washington-uranus-eighteen-queen-cardinal-cola,4,405,FL OZ/A,ATPLAN,12.44,0.414,87.27,1.265
washington-uranus-eighteen-queen-cardinal-cola,1,104,FL OZ/A,ATPLAN,6.34,0.207,82.77,1.25
washington-uranus-eighteen-queen-cardinal-cola,2,206,FL OZ/A,ATPLAN,8,0.276,75.83,0.887
washington-uranus-eighteen-queen-cardinal-cola,3,302,FL OZ/A,ATPLAN,10.56,0.404,91.63,1.292
washington-uranus-eighteen-queen-cardinal-cola,4,408,FL OZ/A,ATPLAN,6.66,0.175,72.13,0.584
washington-uranus-eighteen-queen-cardinal-cola,1,105, , ,7.22,0.243,112.33,2.101
washington-uranus-eighteen-queen-cardinal-cola,2,203, , ,7.54,0.282,88.03,1.382
washington-uranus-eighteen-queen-cardinal-cola,3,308, , ,8.2,0.194,65.73,0.986
washington-uranus-eighteen-queen-cardinal-cola,4,406, , ,8.12,0.309,76.93,1.054
washington-uranus-eighteen-queen-cardinal-cola,1,106,FL OZ/A,ATPLAN,4.12,0.141,95.53,1.185
washington-uranus-eighteen-queen-cardinal-cola,2,209,FL OZ/A,ATPLAN, , ,79.1,1.107
washington-uranus-eighteen-queen-cardinal-cola,3,306,FL OZ/A,ATPLAN,11.82,0.433,101.2,1.518
washington-uranus-eighteen-queen-cardinal-cola,4,403,FL OZ/A,ATPLAN,8.08,0.266,91.3,1.379
washington-uranus-eighteen-queen-cardinal-cola,1,107,FL OZ/A,ATPLAN,7.2,0.258,85.67,1.285
washington-uranus-eighteen-queen-cardinal-cola,2,204,FL OZ/A,ATPLAN,7.54,0.294,97.7,1.417
washington-uranus-eighteen-queen-cardinal-cola,3,301,FL OZ/A,ATPLAN,7.18,0.25,87.27,1.257
washington-uranus-eighteen-queen-cardinal-cola,4,409,FL OZ/A,ATPLAN, , ,70.8,1.062
washington-uranus-eighteen-queen-cardinal-cola,1,108,FL OZ/A,ATPLAN,5.36,0.176,97.0,1.93
washington-uranus-eighteen-queen-cardinal-cola,2,202,FL OZ/A,ATPLAN,7.4,0.258,93.17,1.602
washington-uranus-eighteen-queen-cardinal-cola,3,309,FL OZ/A,ATPLAN,8.88,0.361,124.63,1.907
washington-uranus-eighteen-queen-cardinal-cola,4,404,FL OZ/A,ATPLAN,6.92,0.221,96.97,1.474
washington-uranus-eighteen-queen-cardinal-cola,1,109,FL OZ/A,ATPLAN,9.34,0.333,102.0,2.091
washington-uranus-eighteen-queen-cardinal-cola,2,201,FL OZ/A,ATPLAN,6.62,0.244,87.63,1.236
washington-uranus-eighteen-queen-cardinal-cola,3,305,FL OZ/A,ATPLAN,8.02,0.303,84.07,0.631
washington-uranus-eighteen-queen-cardinal-cola,4,402,FL OZ/A,ATPLAN,8.34,0.327,77.33,1.067
