Trial ID,reps,Plot No.,Rate Unit,Appl Timing,dry_weight_g V6-V7,total_n_g V6-V7,dry_weight_g VT,total_n_g VT
zebra-fillet-moon-sweet-harry-april,1,101, , ,3.1,0.115,17.17,0.39
zebra-fillet-moon-sweet-harry-april,2,205, , ,4.22,0.152, , 
zebra-fillet-moon-sweet-harry-april,3,306, , ,3.62,0.119, , 
zebra-fillet-moon-sweet-harry-april,4,405, , ,2.42,0.081,20.9,0.374
zebra-fillet-moon-sweet-harry-april,5,501, , ,2.3,0.073,18.7,0.329
zebra-fillet-moon-sweet-harry-april,6,604, , ,4.04,0.146,14.43,0.271
zebra-fillet-moon-sweet-harry-april,1,102, , ,1.86,0.067,20.5,0.402
zebra-fillet-moon-sweet-harry-april,2,201, , ,1.32,0.047, , 
zebra-fillet-moon-sweet-harry-april,3,307, , ,5.5,0.169, , 
zebra-fillet-moon-sweet-harry-april,4,403, , ,3.8,0.121,28.13,0.551
zebra-fillet-moon-sweet-harry-april,5,508, , ,0.68,0.023,19.3,0.309
zebra-fillet-moon-sweet-harry-april,6,601, , ,3.06,0.101,18.47,0.356
zebra-fillet-moon-sweet-harry-april,1,103,FL OZ/A,ATPLAN,2.02,0.073,19.4,0.357
zebra-fillet-moon-sweet-harry-april,2,209,FL OZ/A,ATPLAN,5.2,0.177, , 
zebra-fillet-moon-sweet-harry-april,3,308,FL OZ/A,ATPLAN,4.86,0.146, , 
zebra-fillet-moon-sweet-harry-april,4,401,FL OZ/A,ATPLAN,2.6,0.083, , 
zebra-fillet-moon-sweet-harry-april,5,502,FL OZ/A,ATPLAN,5.12,0.172,25.37,0.485
zebra-fillet-moon-sweet-harry-april,6,605,FL OZ/A,ATPLAN,3.36,0.1,18.43,0.361
zebra-fillet-moon-sweet-harry-april,1,104,FL OZ/A,ATPLAN,1.36,0.044,20.37,0.36
zebra-fillet-moon-sweet-harry-april,2,207,FL OZ/A,ATPLAN,5.84,0.231, , 
zebra-fillet-moon-sweet-harry-april,3,305,FL OZ/A,ATPLAN,3.52,0.116, , 
zebra-fillet-moon-sweet-harry-april,4,402,FL OZ/A,ATPLAN,1.8,0.058,22.5,0.41
zebra-fillet-moon-sweet-harry-april,5,509,FL OZ/A,ATPLAN,0.9,0.028,21.3,0.33
zebra-fillet-moon-sweet-harry-april,6,607,FL OZ/A,ATPLAN,3.18,0.102,13.63,0.263
zebra-fillet-moon-sweet-harry-april,1,105, , ,2.0,0.064,21.77,0.414
zebra-fillet-moon-sweet-harry-april,2,203, , ,3.22,0.128, , 
zebra-fillet-moon-sweet-harry-april,3,309, , ,4.24,0.141, , 
zebra-fillet-moon-sweet-harry-april,4,406, , ,2.1,0.072,21.43,0.289
zebra-fillet-moon-sweet-harry-april,5,505, , ,1.62,0.056,15.5,0.327
zebra-fillet-moon-sweet-harry-april,6,606, , ,2.26,0.073,21.83,0.463
zebra-fillet-moon-sweet-harry-april,1,106,FL OZ/A,ATPLAN,3.82,0.135,21.57,0.382
zebra-fillet-moon-sweet-harry-april,2,204,FL OZ/A,ATPLAN,3.52,0.133, , 
zebra-fillet-moon-sweet-harry-april,3,303,FL OZ/A,ATPLAN,3.04,0.113, , 
zebra-fillet-moon-sweet-harry-april,4,404,FL OZ/A,ATPLAN,3.82,0.128,22.6,0.42
zebra-fillet-moon-sweet-harry-april,5,507,FL OZ/A,ATPLAN,3.3,0.124,17.6,0.317
zebra-fillet-moon-sweet-harry-april,6,602,FL OZ/A,ATPLAN,3.28,0.112,18.6,0.35
zebra-fillet-moon-sweet-harry-april,1,107,FL OZ/A,ATPLAN,2.82,0.101,18.63,0.296
zebra-fillet-moon-sweet-harry-april,2,208,FL OZ/A,ATPLAN,4.4,0.164, , 
zebra-fillet-moon-sweet-harry-april,3,302,FL OZ/A,ATPLAN,3.64,0.137, , 
zebra-fillet-moon-sweet-harry-april,4,409,FL OZ/A,ATPLAN,2.44,0.086,23.9,0.442
zebra-fillet-moon-sweet-harry-april,5,504,FL OZ/A,ATPLAN,4.0,0.152,21.83,0.328
zebra-fillet-moon-sweet-harry-april,6,603,FL OZ/A,ATPLAN,2.82,0.095,22.93,0.408
zebra-fillet-moon-sweet-harry-april,1,108,FL OZ/A,ATPLAN,2.74,0.099,22.27,0.436
zebra-fillet-moon-sweet-harry-april,2,202,FL OZ/A,ATPLAN,1.36,0.05, , 
zebra-fillet-moon-sweet-harry-april,3,304,FL OZ/A,ATPLAN,2.66,0.094, , 
zebra-fillet-moon-sweet-harry-april,4,407,FL OZ/A,ATPLAN,2.78,0.097,14.7,0.26
zebra-fillet-moon-sweet-harry-april,5,506,FL OZ/A,ATPLAN,1.78,0.062,19.93,0.407
zebra-fillet-moon-sweet-harry-april,6,609,FL OZ/A,ATPLAN,2.0,0.066,19.37,0.281
zebra-fillet-moon-sweet-harry-april,1,109,FL OZ/A,ATPLAN,2.64,0.082,26.93,0.523
zebra-fillet-moon-sweet-harry-april,2,206,FL OZ/A,ATPLAN,2.78,0.098, , 
zebra-fillet-moon-sweet-harry-april,3,301,FL OZ/A,ATPLAN,1.2,0.045, , 
zebra-fillet-moon-sweet-harry-april,4,408,FL OZ/A,ATPLAN,1.02,0.035,15.1,0.255
zebra-fillet-moon-sweet-harry-april,5,503,FL OZ/A,ATPLAN,3.1,0.1,22.2,0.389
zebra-fillet-moon-sweet-harry-april,6,608,FL OZ/A,ATPLAN,2.6,0.083,19.17,0.297
