Trial ID,plot,sample__planned_growth_stage,items_per_sample,variable,value_dw,value_agronomist,n_samples
nine-texas-march-texas-chicken-hotel,101,VT,3,dry_weight_g,361.5,120.50,36
may-march-bacon-winter-batman-white,101,VT,3,dry_weight_g,255.0,,36
may-march-bacon-winter-batman-white,201,VT,3,dry_weight_g,311.7,,35
may-march-bacon-winter-batman-white,405,VT,3,dry_weight_g,256.1,,36
may-march-bacon-winter-batman-white,409,VT,3,dry_weight_g,269.9,,33
may-march-bacon-winter-batman-white,501,VT,3,dry_weight_g,293.9,,6
may-march-bacon-winter-batman-white,502,VT,3,dry_weight_g,330.9,,6
may-march-bacon-winter-batman-white,503,VT,3,dry_weight_g,319.9,,6
may-march-bacon-winter-batman-white,505,VT,3,dry_weight_g,268.5,,6
may-march-bacon-winter-batman-white,506,VT,3,dry_weight_g,242.7,,6
may-march-bacon-winter-batman-white,507,VT,3,dry_weight_g,312.9,,6
may-march-bacon-winter-batman-white,508,VT,3,dry_weight_g,231.2,,6
may-march-bacon-winter-batman-white,509,VT,3,dry_weight_g,283.7,,7
may-march-bacon-winter-batman-white,601,VT,3,dry_weight_g,321.3,,6
may-march-bacon-winter-batman-white,602,VT,3,dry_weight_g,364.3,,8
may-march-bacon-winter-batman-white,606,VT,3,dry_weight_g,300.8,,7
may-march-bacon-winter-batman-white,607,VT,3,dry_weight_g,320.4,,6
may-march-bacon-winter-batman-white,608,VT,3,dry_weight_g,306.8,,6
may-march-bacon-winter-batman-white,105,VT,3,dry_weight_g,240.5,,35
may-march-bacon-winter-batman-white,205,VT,3,dry_weight_g,287.6,,35
may-march-bacon-winter-batman-white,206,VT,3,dry_weight_g,278.8,,36
may-march-bacon-winter-batman-white,207,VT,3,dry_weight_g,319.0,,35
may-march-bacon-winter-batman-white,208,VT,3,dry_weight_g,242.9,,36
may-march-bacon-winter-batman-white,209,VT,3,dry_weight_g,254.9,,35
may-march-bacon-winter-batman-white,303,VT,3,dry_weight_g,276.7,,36
may-march-bacon-winter-batman-white,304,VT,3,dry_weight_g,319.6,,35
may-march-bacon-winter-batman-white,305,VT,3,dry_weight_g,337.5,,37
may-march-bacon-winter-batman-white,306,VT,3,dry_weight_g,325.3,,37
may-march-bacon-winter-batman-white,308,VT,3,dry_weight_g,259.2,,38
may-march-bacon-winter-batman-white,309,VT,3,dry_weight_g,363.2,,38
may-march-bacon-winter-batman-white,401,VT,3,dry_weight_g,295.0,,34
may-march-bacon-winter-batman-white,402,VT,3,dry_weight_g,280.5,,34
may-march-bacon-winter-batman-white,403,VT,3,dry_weight_g,317.2,,33
may-march-bacon-winter-batman-white,404,VT,3,dry_weight_g,265.1,,35
may-march-bacon-winter-batman-white,609,VT,3,dry_weight_g,207.7,,6
four-georgia-march-fruit-alanine-steak,107,VT,1,dry_weight_g,107.3,105.47,35
delaware-queen-angel-artist-green-south,102,VT,3,dry_weight_g,259.0,76.53,37
delaware-queen-angel-artist-green-south,103,VT,3,dry_weight_g,252.4,86.93,38
delaware-queen-angel-artist-green-south,104,VT,3,dry_weight_g,242.6,69.5,38
delaware-queen-angel-artist-green-south,105,VT,3,dry_weight_g,252.4,83.8,35
delaware-queen-angel-artist-green-south,106,VT,3,dry_weight_g,243.7,90.27,35
delaware-queen-angel-artist-green-south,107,VT,3,dry_weight_g,243.0,84.17,35
delaware-queen-angel-artist-green-south,108,VT,3,dry_weight_g,248.9,87.07,37
delaware-queen-angel-artist-green-south,203,VT,3,dry_weight_g,268.4, ,32
delaware-queen-angel-artist-green-south,204,VT,3,dry_weight_g,245.5,77.23,33
delaware-queen-angel-artist-green-south,205,VT,3,dry_weight_g,259.3,64.2,35
delaware-queen-angel-artist-green-south,206,VT,3,dry_weight_g,280.1, ,36
delaware-queen-angel-artist-green-south,208,VT,3,dry_weight_g,273.8, ,36
delaware-queen-angel-artist-green-south,209,VT,3,dry_weight_g,236.0, ,35
delaware-queen-angel-artist-green-south,301,VT,3,dry_weight_g,237.6,85.57,30
delaware-queen-angel-artist-green-south,302,VT,3,dry_weight_g,252.7,86.33,34
delaware-queen-angel-artist-green-south,303,VT,3,dry_weight_g,238.4,84.13,36
four-georgia-march-fruit-alanine-steak,401,VT,1,dry_weight_g,178.4,192.13,34
four-georgia-march-fruit-alanine-steak,402,VT,1,dry_weight_g,180.0,193.97,34
