Trial ID,plot,sample__planned_growth_stage,items_per_sample,variable,value_dw,value_agronomist,value_dw_adjusted,n_samples
nine-texas-march-texas-chicken-hotel,101,VT,3,dry_weight_g,361.5,120.50,120.5,36
may-march-bacon-winter-batman-white,101,VT,3,dry_weight_g,255.0,,85.0,36
may-march-bacon-winter-batman-white,201,VT,3,dry_weight_g,311.7,,103.89999999999999,35
may-march-bacon-winter-batman-white,405,VT,3,dry_weight_g,256.1,,85.36666666666667,36
may-march-bacon-winter-batman-white,409,VT,3,dry_weight_g,269.9,,89.96666666666665,33
may-march-bacon-winter-batman-white,501,VT,3,dry_weight_g,293.9,,97.96666666666665,6
may-march-bacon-winter-batman-white,502,VT,3,dry_weight_g,330.9,,110.3,6
may-march-bacon-winter-batman-white,503,VT,3,dry_weight_g,319.9,,106.63333333333333,6
may-march-bacon-winter-batman-white,505,VT,3,dry_weight_g,268.5,,89.5,6
may-march-bacon-winter-batman-white,506,VT,3,dry_weight_g,242.7,,80.89999999999999,6
may-march-bacon-winter-batman-white,507,VT,3,dry_weight_g,312.9,,104.3,6
may-march-bacon-winter-batman-white,508,VT,3,dry_weight_g,231.2,,77.06666666666666,6
may-march-bacon-winter-batman-white,509,VT,3,dry_weight_g,283.7,,94.56666666666666,7
may-march-bacon-winter-batman-white,601,VT,3,dry_weight_g,321.3,,107.10000000000001,6
may-march-bacon-winter-batman-white,602,VT,3,dry_weight_g,364.3,,121.43333333333334,8
may-march-bacon-winter-batman-white,606,VT,3,dry_weight_g,300.8,,100.26666666666667,7
may-march-bacon-winter-batman-white,607,VT,3,dry_weight_g,320.4,,106.8,6
may-march-bacon-winter-batman-white,608,VT,3,dry_weight_g,306.8,,102.26666666666667,6
may-march-bacon-winter-batman-white,105,VT,3,dry_weight_g,240.5,,80.16666666666667,35
may-march-bacon-winter-batman-white,205,VT,3,dry_weight_g,287.6,,95.86666666666667,35
may-march-bacon-winter-batman-white,206,VT,3,dry_weight_g,278.8,,92.93333333333334,36
may-march-bacon-winter-batman-white,207,VT,3,dry_weight_g,319.0,,106.33333333333333,35
may-march-bacon-winter-batman-white,208,VT,3,dry_weight_g,242.9,,80.96666666666667,36
may-march-bacon-winter-batman-white,209,VT,3,dry_weight_g,254.9,,84.96666666666667,35
may-march-bacon-winter-batman-white,303,VT,3,dry_weight_g,276.7,,92.23333333333333,36
may-march-bacon-winter-batman-white,304,VT,3,dry_weight_g,319.6,,106.53333333333335,35
