protocol__name,experiment__name,experiment__trial_id,plot__name,plot__lookup_key,sample__name,sample__planned_growth_stage,sample__items_per_sample,measurement_name,measurement_date,analytical_method,variable,value
20-ZEAMX-US403,FTR355,nine-texas-march-texas-chicken-hotel,FTR355.BLOCK01.REP01.PLOT101,101,FTR355.BLOCK01.REP01.PLOT101.T.002,VT,3,FTR355.BLOCK01.REP01.PLOT101.T.002.01,2020-08-07 13:32:59,,dry_weight_g,361.5
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP01.PLOT101,101,FTR336.BLOCK01.REP01.PLOT101.T.003,VT,3,FTR336.BLOCK01.REP01.PLOT101.T.003.01,2020-10-12 12:27:00,,dry_weight_g,255
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP02.PLOT201,201,FTR336.BLOCK01.REP02.PLOT201.T.003,VT,3,FTR336.BLOCK01.REP02.PLOT201.T.003.01,2020-10-12 12:27:00,,dry_weight_g,311.7
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP04.PLOT405,405,FTR336.BLOCK01.REP04.PLOT405.T.002,VT,3,FTR336.BLOCK01.REP04.PLOT405.T.002.01,2020-10-12 12:27:00,,dry_weight_g,256.1
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP04.PLOT409,409,FTR336.BLOCK01.REP04.PLOT409.T.002,VT,3,FTR336.BLOCK01.REP04.PLOT409.T.002.01,2020-10-12 12:27:00,,dry_weight_g,269.9
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP05.PLOT501,501,FTR336.BLOCK01.REP05.PLOT501.T.002,VT,3,FTR336.BLOCK01.REP05.PLOT501.T.002.01,2020-10-12 12:27:00,,dry_weight_g,293.9
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP05.PLOT502,502,FTR336.BLOCK01.REP05.PLOT502.T.002,VT,3,FTR336.BLOCK01.REP05.PLOT502.T.002.01,2020-10-12 12:27:00,,dry_weight_g,330.9
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP05.PLOT503,503,FTR336.BLOCK01.REP05.PLOT503.T.002,VT,3,FTR336.BLOCK01.REP05.PLOT503.T.002.01,2020-10-12 12:27:00,,dry_weight_g,319.9
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP05.PLOT505,505,FTR336.BLOCK01.REP05.PLOT505.T.002,VT,3,FTR336.BLOCK01.REP05.PLOT505.T.002.01,2020-10-12 12:27:00,,dry_weight_g,268.5
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP05.PLOT506,506,FTR336.BLOCK01.REP05.PLOT506.T.002,VT,3,FTR336.BLOCK01.REP05.PLOT506.T.002.01,2020-10-12 12:27:00,,dry_weight_g,242.7
